question,answer,passage
has the united states signed the convention on the rights of the child,False,"On 16 February 1995, Madeleine Albright, at the time the U.S. Ambassador to the United Nations, signed the Convention. However, though generally supportive of the Convention, President Bill Clinton did not submit it to the Senate. Likewise, President Bush did not submit the Convention to the Senate. President Barack Obama has described the failure to ratify the Convention as 'embarrassing' and has promised to review this. The Obama administration said that it intended to submit the Convention to the Senate, but failed to do so. As of June 2018, the Trump administration has not ratified the convention."
is hawaii five o returning for season 8,True,"The eighth season of the CBS police procedural drama series Hawaii Five-0 premiered on September 29, 2017 for the 2017--18 television season. CBS renewed the series for a 23 episode eighth season on March 23, 2017. However, on November 6, 2017 CBS ordered an additional episode for the season and did the same again on February 8, 2018 bringing the count to 25 episodes. The season concluded on May 18, 2018. The eighth season ranked #18 for the 2017-18 television season and had an average of 11 million viewers. The series was also renewed for a ninth season."
is the tour de france route always the same,True,"Traditionally, the race is held primarily in the month of July. While the route changes each year, the format of the race stays the same with the appearance of time trials, the passage through the mountain chains of the Pyrenees and the Alps, and the finish on the Champs-Élysées in Paris. The modern editions of the Tour de France consist of 21 day-long segments (stages) over a 23-day period and cover around 3,500 kilometres (2,200 mi). The race alternates between clockwise and counterclockwise circuits of France."
is the art institute of las vegas accredited,True,"Located at 2350 Corporate Circle in Henderson, Nevada, The Art Institute of Las Vegas is accredited by the Accrediting Council for Independent Colleges and Schools to award certificates, associate's degrees, and bachelor's degrees. The Accrediting Council for Independent Colleges and Schools is listed as a nationally recognized accrediting agency by the United States Department of Education and is recognized by the Council for Higher Education Accreditation. ACICS was stripped of its power to accredit by the US Department of Education in September 2016, effectively placing The Art Institute of Las Vegas in the process of losing its accreditation."
is there such a thing as unbreakable glass,True,"Unbreakable glass is glass, or glass substitute, which does not display the normal fragility of glass - in general the term is not used to refer to something that is absolutely unbreakable."
is black and yellow song about the steelers,True,"The song is about Khalifa's car, a yellow Dodge Challenger Hemi with black stripes. He has stated that he got the car in those colors as a tribute to his hometown of Pittsburgh, Pennsylvania, whose official colors are black and gold, and its professional sports teams, most of whose colors are black and some variation of gold or yellow. The song itself does not mention Pittsburgh or sports, although the song's music video made the connection to Pittsburgh explicit, showing various iconic locations in the city, as well as apparel associated with the football team the Pittsburgh Steelers, the hockey team the Pittsburgh Penguins, and the baseball team the Pittsburgh Pirates. In the year after it was released, ``Black and Yellow'' spawned dozens of remixes, parodies and remakes, both in the US and internationally, many of them made in tribute to a local sports team. At Super Bowl XLV in 2011, which featured the Steelers competing against the Green Bay Packers, the Steelers used ``Black and Yellow'' as their fight song, while the Packers used a remix by Lil' Wayne called ``Green and Yellow'', marking the first time both teams at the Super Bowl had used the same song."
was canada part of the british empire during ww2,False,"When the United Kingdom declared war on Nazi Germany at the outset of World War II it controlled to varying degrees numerous crown colonies, protectorates and the Indian Empire. It also maintained unique political ties to four semi-independent Dominions--Australia, Canada, South Africa, and New Zealand--as part of the Commonwealth. In 1939 the British Commonwealth was a global superpower, with direct or de facto political and economic control of 25% of the world's population, and 30% of its land mass."
are marshmallow fluff and marshmallow creme the same,False,"Marshmallow creme is an American confection, a rich sweet marshmallow spread usually eaten for breakfast. One brand of marshmallow creme is Marshmallow Fluff, which is used to make the New England ``Fluffernutter'' sandwich. This is manufactured by Durkee-Mower, Inc. Its ingredients include corn syrup, sugar syrup, vanilla flavor, and egg whites."
several cranial nerves innervate structures of the tongue,False,"The hypoglossal nerve is the twelfth cranial nerve, and innervates all the extrinsic and intrinsic muscles of the tongue, except for the palatoglossus which is innervated by the vagus nerve. It is a nerve with a solely motor function. The nerve arises from the hypoglossal nucleus in the brain stem as a number of small rootlets, passes through the hypoglossal canal and down through the neck, and eventually passes up again over the tongue muscles it supplies into the tongue. There are two hypoglossal nerves in the body: one on the left, and one on the right."
fletcher henderson began his musical career with black swan records,True,"In New York City, Henderson shared an apartment with a pianist who worked as a musician in a river boat orchestra. When his roommate was too sick to perform, Henderson took his place, which soon gave him a job as a full-time replacement. In the fall of 1920 he found work as a song demonstrator with the Pace and Handy Music Co. Henderson now found that music would be more profitable than chemistry and left his job as a lab chemist to begin a life in music. When Pace left the company to start Black Swan Records, he took Henderson with him to be musical director, a job which lasted from 1921-1923. From 1920-1923, he primarily played piano accompaniment for blues singers. Henderson toured with the Black Swan Troubadours featuring Ethel Waters from October 1921 to July 1922."
can puppies see right when their eyes open,True,"Puppies are born with a fully functional sense of smell but can't open their eyes. During their first two weeks, a puppy's senses all develop rapidly. During this stage the nose is the primary sense organ used by puppies to find their mother's teats, and to locate their littermates, if they become separated by a short distance. Puppies open their eyes about nine to eleven days following birth. At first, their retinas are poorly developed and their vision is poor. Puppies are not able to see as well as adult dogs. In addition, puppies' ears remain sealed until about thirteen to seventeen days after birth, after which they respond more actively to sounds. Between two and four weeks old, puppies usually begin to growl, bite, wag their tails, and bark."
is the salmon cooked in a philadelphia roll,True,"A Philadelphia roll is a makizushi (also classified as a kawarizushi) type of sushi generally made with smoked salmon, cream cheese, and cucumber. It can also include other ingredients, such as other types of fish, avocado, scallions, and sesame seed."
are liquor stores open on memorial day in okc,True,"It is illegal to sell packaged liquor (off-premises sales) on Sundays. Sales also are prohibited on Memorial Day, Independence Day, Labor Day, Thanksgiving Day, and Christmas Day. Low-point beer for consumption off-premises may not be sold between 2:00 a.m. and 6:00 a.m."
is j crew and j crew factory the same,True,"The company operates 575 retail stores, including 281 J.Crew stores, 113 Madewell stores, and 181 J.Crew Factory (including 39 J.Crew Mercantile) outlet locations, as reported in 2017. The company also operates internationally in Canada, France, UK, China, and Korea. Additionally, the company has 76 locations in Japan, which are operated under license by ITOCHU Corporation."
does the cat in the hat have a name,False,"The story begins as a girl named Sally and her brother, who serves as the narrator of the book, sit alone in their house on a cold, rainy day, staring wistfully out the window. Then they hear a loud bump which is quickly followed by the arrival of the Cat in the Hat, a tall anthropomorphic cat in a red and white striped hat and a red bow tie. The Cat proposes to entertain the children with some tricks that he knows. The children's pet fish refuses, insisting that the Cat should leave. The Cat responds by balancing the fish on the tip of his umbrella. The game quickly becomes increasingly trickier, as the Cat balances himself on a ball and tries to balance lots of household items on his limbs until he falls on his head, dropping everything he was holding. The fish admonishes him again, but the Cat in the Hat just proposes another game."
harry potter forbidden journey does it go upside down,True,"Harry Potter and the Forbidden Journey uses KUKA robocoaster technology, which allows the seats to pivot while being held above the track by a robotic arm. However, the ride is not a roller coaster but a scenic dark ride. The experience includes a flight around Hogwarts castle, an encounter with the Whomping Willow and a horde of Dementors, and a Quidditch match. The ride drops, spins around, twists and turns, but does not turn upside down, though passengers sometimes lie flat on their backs. Over-the-shoulder bars are used to secure guests in their seats, and a single parabolic metal bar is used as a hand grip. At the conclusion of the ride, guests exit into Filch's Emporium of Confiscated Goods gift shop."
are prime minister's questions known in advance,False,"Although prime ministers have answered questions in parliament for centuries, until the 1880s questions to the prime minister were treated the same as questions to other Ministers of the Crown: asked without notice, on days when ministers were available in whatever order MPs rose to ask them. In 1881 fixed time-limits for questions were introduced and questions to the prime minister were moved to the last slot of the day as a courtesy to the 72-year-old prime minister at the time, William Gladstone, so he could come to the Commons later in the day. In 1953, when Winston Churchill was prime minister, it was agreed that questions would be submitted on fixed days (Tuesdays and Thursdays)."
is it legal to carry a gun in nyc,True,"New York state law does not require a license to own or possess long guns, but does require a permit to legally possess or own a pistol. However, all firearms must comply with the NY SAFE Act, which bans guns considered ``assault weapons'' from ownership by private citizens, unless they were owned prior to the ban."
do identical twins have to be in the same sac,True,"Monoamniotic twins are identical twins that share the same amniotic sac within their mother's uterus. Monoamniotic twins are always identical, always monochorionic and are usually termed Monoamniotic-Monochorionic (``MoMo'' or ``Mono Mono'') twins. They also share the placenta, but have two separate umbilical cords. Monoamniotic twins develop when an embryo does not split until after formation of the amniotic sac, at about 9-13 days after fertilization. Monoamniotic triplets or other monoamniotic multiples are possible, but extremely rare. Other obscure possibilities include multiples sets where monoamniotic twins are part of a larger gestation such as triplets, quadruplets, or more."
is 45 colt the same as long colt,True,"The .45 Colt, which is sometimes mistakenly called .45 Long Colt (.45 LC) (11.43×33mmR) cartridge, is a handgun cartridge dating to 1872. It is a black-powder revolver round developed for the Colt Single Action Army revolver. This cartridge was adopted by the U.S. Army in 1873 and served as an official US military handgun cartridge for 14 years. While it is sometimes referred to as .45 Long Colt or .45 LC, to differentiate it from the very popular and ubiquitous .45 ACP, and historically, the shorter .45 S&W Schofield, it was only an unofficial designation by Army quartermasters. Current catalog listings of compatible handguns list the caliber as .45 LC and .45 Colt. Both the Schofield and the .45 Colt were used by the Army at the same period of time prior to the adoption of the M1887 Govt."
are there any shapes that would give packing densities higher than 91,False,"The counterparts of a circle in other dimensions can never be packed with complete efficiency in dimensions larger than one (in a one-dimensional universe, the circle analogue is just two points). That is, there will always be unused space if you are only packing circles. The most efficient way of packing circles, hexagonal packing, produces approximately 91% efficiency."
can you carry a pocket knife in china,False,"Due to concerns about potential violence at the 2008 Olympic Games in Beijing, China began restricting ``dangerous knives'', requiring that purchasers register with the government when purchasing these knives. Included in the new restrictions are knives with ``blood grooves'', lockblade knives, knives with blades measuring over 22 cm (8.6 in) in length, and knives with blades over 15 cm in length also having a point angle of less than 60 degrees. As of January 2011, according to an authorized Leatherman dealer in Beijing all knives with a locking blade are illegal unless they are part of a larger multi-tool like a leatherman. However, many people still carry locking pocket knives especially when camping with no issues. He suggested carrying locking knives in checked luggage on airplanes, and on your person in trains and subways since they could be confiscated if found in a bag. Foreigners are generally given a bit more leeway in China so if a traveler is caught with a small knife there will probably be no prosecution and at most confiscation."
are the marines part of the us navy,True,"The Department of the Navy, led by the Secretary of the Navy, is a military department of the cabinet-level U.S. Department of Defense that oversees the Marine Corps and the Navy. The most senior Marine officer is the Commandant, unless a Marine officer is the Chairman or Vice Chairman of the Joint Chiefs, responsible to the Secretary of the Navy for organizing, recruiting, training, and equipping the Marine Corps so that its forces are ready for deployment under the operational command of the Combatant Commanders. The Marine Corps is organized into four principal subdivisions: Headquarters Marine Corps (HQMC), the Operating Forces, the Supporting Establishment, and the Marine Forces Reserve (MARFORRES or USMCR)."
is it a felony to steal road signs,False,"In most jurisdictions, the theft of traffic signage is treated like any other theft with respect to prosecution and sentencing. If, however, the theft leads to an injury, then the thieves may be found criminally liable for the injury as well, provided that an injury of that sort was a foreseeable consequence of such a theft. In one notable United States case, three people were found guilty of manslaughter for stealing a stop sign and thereby causing a deadly collision. This was publicized in the novel Driver's Ed by Caroline B. Cooney."
does oregon have the stand your ground law,False,"The states that have adopted stand-your-ground in practice, either through case law/precedent, jury instructions or by other means, are California, Colorado, Illinois, New Mexico, Oregon, Virginia, and Washington."
can you pitch and dh at the same time,True,"In Major League Baseball, the designated hitter is a hitter who does not play a position, but instead fills in the batting order for the pitcher. The DH may only be used for the pitcher (and not any other position player), as stated in Rule 5.11. Use of the DH is optional, but must be determined prior to the start of the game. If a team does not begin a game with a DH, the pitcher (or a pinch-hitter) must bat for the entire game."
is there anything after the credits in dead pool 2,False,"One scene that was cut from the film following test screenings was a post-credits scene featuring Deadpool travelling back in time to kill a baby Adolf Hitler. It was decided that the scene made audiences too ``squeamish'', which was not the feeling that the creative team wanted people to be leaving the film with. The film originally did not have any post- or mid- credits scenes, with the Hitler scene and the film's other time-traveling mid-credits scenes shot during additional photography. The latter came about when someone suggested the time travel device be used to fix real-world mistakes like Reynolds' role in Green Lantern which the writers felt was ``the funniest idea ever, and what a great idea to end the movie''. Additional footage of the X-Force team was shot for the film's marketing to hide the fact that the majority of the X-Force are immediately killed as a joke in the film. Due to Deadpool's mask, the creative team was able to change the character's dialogue up to the film being officially completed; Reynolds took this opportunity to keep adding new jokes to the film as long as possible."
is air national guard part of the air force,False,"When Air National Guard units are used under the jurisdiction of the state governor they are fulfilling their militia role. However, if federalized by order of the President of the United States, ANG units become an active part of the United States Air Force. They are jointly administered by the states and the National Guard Bureau, a joint bureau of the Army and Air Force that oversees the National Guard of the United States."
is there more seasons of once upon a time,True,"It borrows elements and characters from the Disney franchise and popular Western literature, folklore, and fairy tales. Once Upon a Time was created by Lost and Tron: Legacy writers Edward Kitsis and Adam Horowitz. For the first six seasons, the series aired on Sundays at 8:00 pm ET/7:00 pm CT. On May 11, 2017, ABC renewed the series for a 22-episode seventh season, moving to Friday 8:00 pm ET/7:00 pm CT, which premiered on October 6, 2017. In February 2018, it was announced the seventh season would serve as the final season of the series."
did manchester city win the football league in 1966,True,"This season is widely believed to have been the start of Manchester City's golden era, a period largely concurrent with the reign of Joe Mercer and Malcolm Allison as managers at the club, and then of the aftermath of the break-up of the partnership. This season began City's highest concentration of silverware to seasons played - winning the Second Division for a record sixth time in this season, the club would claim the Football League First Division title, the FA Cup, the Football League Cup twice, the Charity Shield twice, and in European competition the UEFA Cup Winners' Cup all within the space of the ten seasons following."
did austria qualify for the world cup 2018,True,"The 2018 FIFA World Cup qualification UEFA Group D was one of the nine UEFA groups for 2018 FIFA World Cup qualification. The group consisted of six teams: Wales, Austria, Serbia, Republic of Ireland, Moldova, and Georgia."
does puerto rico have a soccer team in the world cup,True,"On June 5, 2015, Puerto Rico played a friendly against Bermuda their last friendly before the World Cup qualifiers for the 2018 FIFA World Cup ending in a 1--1 draw. After losing to Grenada 2--1 in the 2018 World Cup Qualifiers round 2 Puerto Rico's Interim coach Jose 'Cukito' Martinez resigned and a few days later the Uruguayan Carlos Avedissian solved his visa problems and could finally arrive as the head coach of the national team. On December 11, 2015, Puerto Rico played a friendly against MLS team New York City FC losing 2--1."
is a red bug the same as a chigger,False,"Trombiculidae (/trɒmbɪˈkjuːlɪdiː/; also called berry bugs, harvest mites, red bugs, scrub-itch mites and aoutas) are a family of mites. The best known of the Trombiculidae are the chiggers. The two widely recognized definitions of ``chigger'' are the scientific (or taxonomic) and the common, the latter of which can be found in English and medical dictionaries. According to most dictionaries, the several species of Trombiculidae that bite their host in their larval stage and cause ``intense irritation'' or ``a wheal, usually with severe itching and dermatitis'', are called chiggers. The scientific definition seemingly includes many more, but not all species of Trombiculidae."
