question,answer,passage
is thanksgiving always the last thursday of the month,True,"Thanksgiving, or Thanksgiving Day, is a public holiday celebrated on the fourth Thursday of November in the United States. It originated as a harvest festival. Thanksgiving has been celebrated nationally on and off since 1789, after Congress requested a proclamation by George Washington. It has been celebrated as a federal holiday every year since 1863, when, during the American Civil War, President Abraham Lincoln proclaimed a national day of ``Thanksgiving and Praise to our beneficent Father who dwelleth in the Heavens,'' to be celebrated on the last Thursday in November. Together with Christmas and the New Year, Thanksgiving is a part of the broader fall/winter holiday season in the U.S."
can an indian president run for office again,True,"Article 57 provides that a person who holds, or who has held, office as President shall, subject to the other provisions of this constitution, be eligible for re-election to that office."
is samurai champloo based on a true story,True,"Samurai Champloo contains many scenes and episodes relating to historical occurrences in Japan's Edo period. In episode 5 (``Artistic Anarchy''), Fuu is kidnapped by the famous ukiyo-e painter Hishikawa Moronobu, a figure prominent in the Edo period's art scene. Episode 23 (``Baseball Blues'') pits the main characters in a baseball game against Alexander Cartwright and a team of American baseball players trying to declare war on Japan. As for Western influences, the opening of the show as well as many of the soundtracks are influenced by hip hop. In episode 5, Vincent van Gogh is referenced at the end in relation to Hishikawa Moronobu's ukiyo-e paintings. A hip hop singer challenges the main characters in episode 8 (``The Art of Altercation'') and uses break dance throughout. In episode 18 (``War of the Words''), graffiti tagging, a culturally Western art form, is performed by characters as an artistic expression and form of writing. The ending of the episode has Mugen writing his name on the roof of Hiroshima Castle, the palace of the daimyō in Edo Japan."
has there been any space missions to mars,False,"A human mission to Mars has been the subject of science fiction, aerospace engineering, and scientific proposals since the 19th century. The plans comprise proposals to land on Mars, eventually settling on and terraforming the planet, while utilizing its moons, Phobos and Deimos."
does a karyotype tell all of a person's genetic characteristics,True,A karyotype is the number and appearance of chromosomes in the nucleus of an eukaryotic cell. The term is also used for the complete set of chromosomes in a species or in an individual organism and for a test that detects this complement or measures the number.
original wizard of oz was it in color,True,"In his book The Wonderful Wizard of Oz, Baum describes Kansas as being ``in shades of gray''. Further, Dorothy lived inside a farmhouse which had its paint blistered and washed away by the weather, giving it an air of grayness. The house and property were situated in the middle of a sweeping prairie where the grass was burnt gray by harsh sun. Aunt Em and Uncle Henry were ``gray with age''. Effectively, the use of monochrome sepia tones for the Kansas sequences was a stylistic choice that evoked the dull and gray countryside. Much attention was given to the use of color in the production, with the MGM production crew favoring some hues over others. Consequently, it took the studio's art department almost a week to settle on the final shade of yellow used for the yellow brick road."
is the art institute of las vegas accredited,True,"Located at 2350 Corporate Circle in Henderson, Nevada, The Art Institute of Las Vegas is accredited by the Accrediting Council for Independent Colleges and Schools to award certificates, associate's degrees, and bachelor's degrees. The Accrediting Council for Independent Colleges and Schools is listed as a nationally recognized accrediting agency by the United States Department of Education and is recognized by the Council for Higher Education Accreditation. ACICS was stripped of its power to accredit by the US Department of Education in September 2016, effectively placing The Art Institute of Las Vegas in the process of losing its accreditation."
do you have to have a college degree to take the bar exam,True,"In the canonical case, lawyers seeking admission must earn a Juris Doctor degree from a law school approved by the jurisdiction, and then pass a bar exam administered by it. Typically, there is also a character and fitness evaluation, which includes a background check. However, there are exceptions to each of these requirements. A lawyer who is admitted in one state is not automatically allowed to practice in any other. Some states have reciprocal agreements that allow attorneys from other states to practice without sitting for another full bar exam; such agreements differ significantly among the states."
is there such a thing as unbreakable glass,True,"Unbreakable glass is glass, or glass substitute, which does not display the normal fragility of glass - in general the term is not used to refer to something that is absolutely unbreakable."
are marshmallow fluff and marshmallow creme the same,False,"Marshmallow creme is an American confection, a rich sweet marshmallow spread usually eaten for breakfast. One brand of marshmallow creme is Marshmallow Fluff, which is used to make the New England ``Fluffernutter'' sandwich. This is manufactured by Durkee-Mower, Inc. Its ingredients include corn syrup, sugar syrup, vanilla flavor, and egg whites."
has anyone scored 6 goals in one game,True,"The current world record for an international is held by Archie Thompson, who scored 13 goals against American Samoa in Australia's 31--0 victory during the 2002 FIFA World Cup qualification. In the same match, David Zdrilic scored 8 goals."
can puppies see right when their eyes open,True,"Puppies are born with a fully functional sense of smell but can't open their eyes. During their first two weeks, a puppy's senses all develop rapidly. During this stage the nose is the primary sense organ used by puppies to find their mother's teats, and to locate their littermates, if they become separated by a short distance. Puppies open their eyes about nine to eleven days following birth. At first, their retinas are poorly developed and their vision is poor. Puppies are not able to see as well as adult dogs. In addition, puppies' ears remain sealed until about thirteen to seventeen days after birth, after which they respond more actively to sounds. Between two and four weeks old, puppies usually begin to growl, bite, wag their tails, and bark."
does prosecco have to be made in italy,True,"Until the 2008 vintage Prosecco was protected as a DOC within Italy, as Prosecco di Conegliano-Valdobbiadene, Prosecco di Conegliano and Prosecco di Valdobbiadene. From 2009, this has been promoted to DOCG status. To further protect the name, an association of traditional Prosecco growers is advocating a protected designation of origin status for Northern Italian Prosecco under European law. Since 1 January 2010, Prosecco is, according to an order of the Italian Minister of Agriculture of 17 July 2009, not the name of a grape variety any more (now to be called Glera), but exclusively a geographical indication. This was confirmed by EG-Regulation Nr. 1166/2009 of 30 November 2009."
is the salmon cooked in a philadelphia roll,True,"A Philadelphia roll is a makizushi (also classified as a kawarizushi) type of sushi generally made with smoked salmon, cream cheese, and cucumber. It can also include other ingredients, such as other types of fish, avocado, scallions, and sesame seed."
do sam and dean find their mother killer,True,"Azazel's last appearance chronologically is in the second season finale ``All Hell Breaks Loose'', where he kidnaps Sam and the other young adults that he had infected. He visits Sam in a dream, and reveals that his ``special children'' must fight to the death to determine who will lead his army. Although Sam is the demon's favorite, the super-strong Jake Talley becomes the winner. As Dean sells his soul to another demon in exchange for Sam's resurrection, Azazel gives Jake the Colt and coerces him to travel to a cemetery in the middle of a giant devil's trap. Though Sam and Dean, along with other hunters, attempt to stop him, Jake uses the Colt as a key to unlock a mausoleum there. This action briefly opens a gateway to Hell, releasing Lilith and hundreds of other demons. With the devil's trap around the cemetery now broken, Azazel confronts the Winchesters and easily overpowers them. However, John's soul escapes through the Gate, and distracts Azazel long enough for Dean to shoot him dead with the Colt."
is it legal to carry a gun in nyc,True,"New York state law does not require a license to own or possess long guns, but does require a permit to legally possess or own a pistol. However, all firearms must comply with the NY SAFE Act, which bans guns considered ``assault weapons'' from ownership by private citizens, unless they were owned prior to the ban."
is wembley stadium in zones 1-6,True,"Wembley Park is a London Underground station in Wembley Park, north west London. The station is served by the Underground's Metropolitan and Jubilee Lines and is in Travelcard Zone 4. It is located on Bridge Road (A4089) and is the nearest Underground station to the Wembley Stadium and Wembley Arena complex. This is where the Jubilee line from Stanmore diverges from the Metropolitan line which was formerly a branch of the Metropolitan Railway and was taken over by the Bakerloo line and today part of the Jubilee line."
can i use dexron iii for dexron ii,True,"In 1993, GM released new Dexron-III fluid (GM Spec GM6417M and later GMN10055). It is generally backward-compatible with transmissions using earlier Dexron fluids or Type-A/Suffix-A fluid. However this specification failed to address a number of issues concerning long term durability such as shear stability and fluid oxidation. Dexron-III underwent a number of iterations in an attempt to address various shortcomings but was eventually replaced by new thinking i.e. DEXRON-VI."
does oregon have the stand your ground law,False,"The states that have adopted stand-your-ground in practice, either through case law/precedent, jury instructions or by other means, are California, Colorado, Illinois, New Mexico, Oregon, Virginia, and Washington."
did korn do the voices in south park,True,"``Korn's Groovy Pirate Ghost Mystery'' is the tenth episode of the third season and the 41st overall episode of Comedy Central's animated series South Park. It originally aired on October 27, 1999. The episode features issues of necrophilia and a parody of the animated series Scooby-Doo (with the band Korn filling the role of Mystery, Inc.)."
did kobe bryant started his first year in the nba,True,"Bryant debuted in the Summer Pro League in Long Beach, California, scoring 25 points in front of a standing-room-only crowd. Defenders struggled to get in front of him, and his performance excited West and Lakers coach Del Harris. He scored 36 points in the finale, and finished with averages of 24.5 points and 5.3 rebounds in four game. As a rookie in 1996--97, Bryant mostly came off the bench behind guards Eddie Jones and Nick Van Exel. At the time he became the youngest player ever to play in an NBA game (18 years, 72 days; a record since broken by Jermaine O'Neal and former teammate Andrew Bynum), and also became the youngest NBA starter ever (18 years, 158 days). Initially, Bryant played limited minutes, but as the season continued, he began to see some more playing time. By the end of the season, he averaged 15.5 minutes a game. During the All-Star weekend, Bryant participated in the Rookie Challenge and won the 1997 Slam Dunk Contest, becoming the youngest dunk champion ever at the age of 18. Bryant's performance throughout the year earned him a spot on the NBA All-Rookie Second Team with fellow bench teammate Travis Knight. The Lakers advanced to the Western Conference semifinals in the playoffs against the Utah Jazz, when Bryant was pressed into a lead role at the end of Game 5. Byron Scott missed the game with a sprained wrist, Robert Horry was ejected for fighting with the Utah's Jeff Hornacek, and Shaquille O'Neal fouled out with 1:46 remaining in the fourth quarter. Bryant shot four air balls at the end of the game; the Jazz won 98--93 in overtime to eliminate the Lakers 4--1. He first whiffed a game-winning 2-point jump shot in the fourth quarter, and then misfired three three-point field goals in overtime, including two tying shots in the final minute. O'Neal commented that ``(Bryant) was the only guy who had the guts at the time to take shots like that.''"
did manchester city win the football league in 1966,True,"This season is widely believed to have been the start of Manchester City's golden era, a period largely concurrent with the reign of Joe Mercer and Malcolm Allison as managers at the club, and then of the aftermath of the break-up of the partnership. This season began City's highest concentration of silverware to seasons played - winning the Second Division for a record sixth time in this season, the club would claim the Football League First Division title, the FA Cup, the Football League Cup twice, the Charity Shield twice, and in European competition the UEFA Cup Winners' Cup all within the space of the ten seasons following."
did austria qualify for the world cup 2018,True,"The 2018 FIFA World Cup qualification UEFA Group D was one of the nine UEFA groups for 2018 FIFA World Cup qualification. The group consisted of six teams: Wales, Austria, Serbia, Republic of Ireland, Moldova, and Georgia."
do you put water in a fog machine,True,"A fog machine, fog generator, or smoke machine is a device that emits a dense vapor that appears similar to fog or smoke. This artificial fog is most commonly used in professional entertainment applications, but smaller, more affordable fog machines are becoming common for personal use. Fog machines can also be found in use in a variety of industrial, training, and some military applications. Typically, fog is created by vaporizing proprietary water and glycol-based or glycerin-based fluids or through the atomization of mineral oil. This fluid (often referred to colloquially as fog juice) vaporizes or atomizes inside the fog machine. Upon exiting the fog machine and mixing with cooler outside air the vapor condenses, resulting in a thick visible fog."
when sandy hit nj was it a hurricane,False,"Sandy developed from a tropical wave in the western Caribbean Sea on October 22, quickly strengthened, and was upgraded to Tropical Storm Sandy six hours later. Sandy moved slowly northward toward the Greater Antilles and gradually intensified. On October 24, Sandy became a hurricane, made landfall near Kingston, Jamaica, re-emerged a few hours later into the Caribbean Sea and strengthened into a Category 2 hurricane. On October 25, Sandy hit Cuba as a Category 3 hurricane, then weakened to a Category 1 hurricane. Early on October 26, Sandy moved through the Bahamas. On October 27, Sandy briefly weakened to a tropical storm and then restrengthened to a Category 1 hurricane. Early on October 29, Sandy curved west-northwest (the ``left turn'' or ``left hook'') and then moved ashore near Brigantine, New Jersey, just to the northeast of Atlantic City, as a post-tropical cyclone with hurricane-force winds."
are doc martens still made in the uk,True,"In 2004 a new range of Dr. Martens was launched in an attempt to appeal to a wider market, and especially young people. The shoes and boots were intended to be more comfortable, and easier to break in, and included some new design elements. Dr. Martens also began producing footwear again at the Cobbs Lane Factory in Wollaston, England in 2004. These products are part of the ``Vintage'' line, which the company advertises as being made to the original specifications. Sales of these shoes are low in comparison to those made in Asia, however; in 2010, the factory was producing about 50 pairs per day. In 2005, the R. Griggs company was given an award by the ``Institute for Turnaround'' for implementing a successful restructure."
the walking dead do they ever find sophia,True,"The group keeps searching for Sophia but is unsuccessful. In the episode ``Cherokee Rose'', Carl's injuries ultimately lead the whole group onto Hershel Greene's farm, where they settle. They continue their search, but still nothing seems to turn up. In the episode ``Chupacabra'', the only thing that comes to light is Sophia's doll, which had been discovered by a member of the group named Daryl Dixon. Daryl goes on several searches for Sophia, being one of the most devoted members of the group in looking towards recovering her. He and Carol bond greatly because of his efforts. In the mid-season finale ``Pretty Much Dead Already'', Glenn tells the group that he discovered that Hershel has been keeping a group of walkers, consisting largely of his family and neighbors, in his barn, as he had believed them to be sick but nonetheless curable patients. Shane goes against Rick's orders, opens the barn, and (along with the rest of the group) shoots all the walkers that stumble out. Just as things seem to be over and done with, one more walker stumbles out of the barn - Sophia, who had been bitten while in the woods. (She had then been found by Otis, who put her zombified form in the barn before his death.) Knowing what must be done, Rick steps forward and shoots her, putting her out of her misery. In the mid-season premiere ``Nebraska'', she is buried in a funeral ceremony, alongside Hershel's second wife Annette and stepson Shawn (who were also kept in his barn as walkers). Carol does not attend the funeral because her daughter ``died a long time ago''."
is it illegal to own a coca plant,True,"The primary organization authorized to purchase coca leaves is ENACO S.A., headquartered in Peru. Outside of South America, most countries' laws make no distinction between the coca leaf and any other substance containing cocaine, so the possession of coca leaf is prohibited. In South America coca leaf is illegal in both Paraguay and Brazil."
can goalie pick up ball from throw in,False,"Goalkeepers are normally allowed to handle the ball within their own penalty area, and once they have control of the ball in their hands opposition players may not challenge them for it. However the back-pass rule prohibits goalkeepers from handling the ball after it has been deliberately kicked to them by a team-mate, or after receiving it directly from a throw-in taken by a team-mate. Back-passes with parts of the body other than the foot, such as headers, are not prohibited. Despite the popular name ``back-pass rule'', there is no requirement in the laws that the kick or throw-in must be backwards; handling by the goalkeeper is forbidden regardless of the direction the ball travels."
do the individual parallel lines in a parallel circuit have different currents flowing through them,False,"In a series circuit, the current through each of the components is the same, and the voltage across the circuit is the sum of the voltages across each component. In a parallel circuit, the voltage across each of the components is the same, and the total current is the sum of the currents through each component."
is dc legends of tomorrow based on a comic,False,"DC's Legends of Tomorrow, or simply Legends of Tomorrow, is an American superhero television series developed by Greg Berlanti, Marc Guggenheim, Andrew Kreisberg, and Phil Klemmer, who are also executive producers along with Sarah Schechter and Chris Fedak; Klemmer and Fedak serve as showrunners. The series, based on the characters of DC Comics, airs on The CW and is a spin-off featuring characters introduced in Arrow and The Flash along with new characters, set in the Arrowverse, the same fictional universe. The series premiered in January 2016. Legends of Tomorrow was renewed for a fourth season in April 2018, which is set to premiere on October 22, 2018."
is the cn tower one of the tallest buildings,True,"The CN Tower held the record for the world's tallest free-standing structure for 32 years until 2007 and was the world's tallest tower until 2009 being overtaken by Burj Khalifa and Canton Tower, respectively. It is now the ninth tallest tower in the world and remains the tallest free-standing structure in the Western Hemisphere. In 1995, the CN Tower was declared one of the modern Seven Wonders of the World by the American Society of Civil Engineers. It also belongs to the World Federation of Great Towers."
is a structure found in the crista ampullaris,False,"The crista ampullaris itself is a cone-shaped structure, covered in receptor cells called ``hair cells''. Covering the crista ampullaris is a gelatinous mass called the cupula. Upon angular acceleration (rotation), the endolymph within the semicircular duct deflects the cupula against the hair cells of the crista ampullaris. The hair cells respond by stimulating neurons that innervate them."
can i travel in europe with an id card,True,"National identity cards are issued to their citizens by the governments of all European Union member states except Denmark, Ireland (Public Services Card) and the United Kingdom, and also by Liechtenstein and Switzerland (the latter not formally part of the EEA). Citizens holding a national identity card, which states EEA or Swiss citizenship, can not only use it as an identity document within their home country, but also as a travel document to exercise the right of free movement in the EEA and Switzerland. Identity cards that do not state EEA or Swiss citizenship, including national identity cards issued to residents who are not citizens, are not valid as a travel document within the EEA and Switzerland."
do they find the little girl in season 2 of walking dead,True,"The group keeps searching for Sophia but is unsuccessful. In the episode ``Cherokee Rose'', Carl's injuries ultimately lead the whole group onto Hershel Greene's farm, where they settle. They continue their search, but still nothing seems to turn up. In the episode ``Chupacabra'', the only thing that comes to light is Sophia's doll, which had been discovered by a member of the group named Daryl Dixon. Daryl goes on several searches for Sophia, being one of the most devoted members of the group in looking towards recovering her. He and Carol bond greatly because of his efforts. In the mid-season finale ``Pretty Much Dead Already'', Glenn tells the group that he discovered that Hershel has been keeping a group of walkers, consisting largely of his family and neighbors, in his barn, as he had believed them to be sick but nonetheless curable patients. Shane goes against Rick's orders, opens the barn, and (along with the rest of the group) shoots all the walkers that stumble out. Just as things seem to be over and done with, one more walker stumbles out of the barn - Sophia, who had been bitten while in the woods. (She had then been found by Otis, who put her zombified form in the barn before his death.) Knowing what must be done, Rick steps forward and shoots her, putting her out of her misery. In the mid-season premiere ``Nebraska'', she is buried in a funeral ceremony, alongside Hershel's second wife Annette and stepson Shawn (who were also kept in his barn as walkers). Carol does not attend the funeral because her daughter ``died a long time ago''."
is there a storyline to star wars battlefront,False,"Games in the Battlefront series normally revolve around two armies -- the Galactic Republic versus the Confederacy of Independent Systems or the Galactic Empire versus the Rebel Alliance or First Order versus the Resistance -- fighting each other on various maps. Maps take place in the Star Wars galaxy, with battlezones varying in theme and size. Across the battlefield are multiple ``command posts'' (objectives) that act as spawn points, and can be controlled by either the player or the computer. Units can spawn from any friendly command post, and vehicles regularly spawn at their respective command posts when destroyed. Units can capture neutral or hostile command posts by approaching them and standing within the immediate vicinity for about 30 seconds. The time to capture quickens with more friendly units within the capture zone. Some vehicles act as mobile command posts, and must be destroyed as they can not be captured. On some maps (such as Hoth or Endor), certain structures also act as command posts that can not be captured. Command post capturing works differently on certain campaign missions as well. Playable heroes and villains play a significant role in changing the course of battles."
is there a second season of iron fist,True,"The season was released on September 7, 2018, and consists of ten episodes. The season received mixed reviews from critics, but was considered a major improvement over the previous season. Netflix canceled the series on October 12, 2018."
are there grizzly bears on the east coast,True,"Brown bears are found in Asia, Europe, and North America, giving them the widest ranges of bear species. They also inhabited North Africa and the Middle East. In North America, grizzly bears previously ranged from Alaska down to Mexico and as far east as the western shores of Hudson Bay; the species is now found in Alaska, south through much of western Canada, and into portions of the northwestern United States (including Idaho, Montana, Washington, and Wyoming), extending as far south as Yellowstone and Grand Teton National Parks. It is most commonly found in Canada. In Canada, there are approximately 25,000 grizzly bears occupying British Columbia, Alberta, the Yukon, the Northwest Territories, Nunavut, and the northern part of Manitoba. An article published in 1954 suggested they may be present in the tundra areas of the Ungava Peninsula and the northern tip of Labrador-Quebec. In British Columbia, grizzly bears inhabit approximately 90% of their original territory. There were approximately 25,000 grizzly bears in British Columbia when the European settlers arrived. However, population size has since significantly decreased due to hunting and habitat loss. In 2003, researchers from the University of Alberta spotted a grizzly on Melville Island in the high Arctic, which is the most northerly sighting ever documented. In 2008, it was estimated there were 16,014 grizzly bears. Population estimates for British Columbia are based on hair-snagging, DNA-based inventories, mark-and-recapture, and a refined multiple regression model. A revised Grizzly bear count in 2012 for British Columbia was 15,075."
is the nanny based on a true story,True,"The show was created and produced by Drescher and her husband Peter Marc Jacobson, taking much of its inspiration from Drescher's personal life growing up in Queens, involving names and characteristics based on her relatives and friends. The show earned a Rose d'Or and one Emmy Award, out of a total of twelve nominations, and Drescher was twice nominated for a Golden Globe and an Emmy. The sitcom has also spawned several foreign adaptations, loosely inspired by the original scripts."
will there be a fifth season of blacklist,True,"The fifth season of the American crime thriller television series The Blacklist premiered on NBC on September 27, 2017, with a timeslot change from Thursday at 10:00 PM to Wednesday at 8:00 PM. The season was produced by Davis Entertainment, Universal Television and Sony Pictures Television, and the executive producers are Jon Bokenkamp, John Davis, John Eisendrath, John Fox, and Joe Carnahan. The season contained 22 episodes and concluded on May 16, 2018. The season aired the series 100th episode."
is taylor still on the bold and beautiful,True,"Taylor Hayes is a fictional character from the American CBS soap opera The Bold and the Beautiful, portrayed by Hunter Tylo. The character was created by William J. Bell and debuted during the episode dated June 6, 1990. Tylo appeared as a regular continuously until 1994 when she took a hiatus for a few months before being written back into the series. In 1996, she left the serial after being cast on Melrose Place, where she was soon fired on the grounds of being pregnant, and returned shortly after. In 2002, Tylo and the show's executive producer Bradley Bell had mutually agreed that the character was ``played out'', and Taylor was subsequently killed off, last appearing on October 30, 2002. Tylo returned in 2004, reprising Taylor as a ghost. She returned on a permanent basis in April 2005, with the character revealed to be alive. Tylo exited The Bold and the Beautiful again in July 2013, but returned for multiple guest appearances in 2014. She returned again in April 2018."
can you have a skunk as a pet in canada,True,"Canadian pet skunks must be purchased from a USDA-certified breeder in the United States. An import permit is required from the Canadian Food Inspection Agency to bring the skunk into the country. The skunk must be spayed or neutered, and receive a microchip implant or tattoo. A vet check fee must also be paid. It is illegal to keep striped skunks as pets in Canada."
is blue cross the same as blue shield,True,"Blue Cross Blue Shield Association (BCBSA) is a federation of 36 separate United States health insurance organizations and companies, providing health insurance in the United States to more than 106 million people. Blue Cross was founded in 1929 and became the Blue Cross Association in 1960, while Blue Shield emerged in 1939 and the Blue Shield Association was created in 1948. The two organizations merged in 1982."
are family dollar and dollar general owned by the same company,True,"Several stores were required to be sold as a condition of the sale. Sycamore Partners acquired the stores in 2014 under the corporate name Dollar Express. The stores continued to operate under the Family Dollar name. In 2017, Dollar General acquired Dollar Express and converted the stores."
is the witcher 3 based on a book,True,"In 1996 and 1997 a Witcher video game was being developed by Metropolis Software in Poland, but it was cancelled. The game's director was Adrian Chmielarz, former People Can Fly co-owner and creative director, who coined the translation ``The Witcher'' during its development. According to Chmielarz, the game would have been a 3D action-adventure game with role-playing elements such as moral choices and experience points. In 2007, Polish video-game developer CD Projekt Red released The Witcher, a role-playing game based on Sapkowski's saga. The game was released in Europe on October 26 and in the US on October 30 for Windows and OS X. It was well-publicized and, although it was the developer's first game, it received critical praise in Europe and North America. The Witcher was published in Poland by CD Projekt and worldwide by Atari. A console version, The Witcher: Rise of the White Wolf with the same story and a different engine and combat system, was scheduled for release in fall 2009 but was cancelled that spring."
is there such thing as a 100 pound note,True,"Not since 1945 has there been bigger notes than £50 issued for general circulation by the Bank of England, although banks in Scotland and Northern Ireland still use £100 notes. However, the Bank of England does produce higher-value notes that are used to maintain parity with Scottish and Northern Irish notes. Banknotes issued by Scottish and Northern Irish banks have to be backed pound for pound by Bank of England notes (other than a small amount representing the currency in circulation in 1845), and special £1 million and £100 million notes are used for this purpose. Their design is based on the old Series A notes."
is electrode potential the same as reduction potential,True,"Although the overall potential of a cell can be measured, there is no simple way to accurately measure the electrode/electrolyte potentials in isolation. The electric potential also varies with temperature, concentration and pressure. Since the oxidation potential of a half-reaction is the negative of the reduction potential in a redox reaction, it is sufficient to calculate either one of the potentials. Therefore, standard electrode potential is commonly written as standard reduction potential."
did they actually go to hawaii in everything everything,True,"The two go to Hawaii, explore the country and just be blissful for a day. The next day, Maddy has to be taken to a hospital because she begins to feel extremely sick. Her heart stops, but only for a moment."
is chumlee from pawn stars still on the show,True,"Austin Lee Russell (born September 8, 1982), better known by his stage name of Chumlee, is an American actor, businessman and reality television personality, known as a cast member on the History Channel television show Pawn Stars, which depicts the daily business at the Gold and Silver Pawn Shop in Las Vegas where Russell works as an employee. Chumlee came to work at the pawn shop five years before filming of the first season, having been a childhood friend of Corey Harrison, whose father, Rick Harrison, and grandfather, Richard Benjamin Harrison, opened the shop in 1989."
is sperm concentration the same as sperm count,True,"Sperm count, or sperm concentration to avoid confusion with total sperm count, measures the concentration of sperm in a man's ejaculate, distinguished from total sperm count, which is the sperm count multiplied with volume. Over 15 million sperm per milliliter is considered normal, according to the WHO in 2010. Older definitions state 20 million. A lower sperm count is considered oligozoospermia. A vasectomy is considered successful if the sample is azoospermic (zero sperm of any kind found). Some define success as when rare/occasional non-motile sperm are observed (fewer than 100,000 per millilitre). Others advocate obtaining a second semen analysis to verify the counts are not increasing (as can happen with re-canalization) and others still may perform a repeat vasectomy for this situation."
is it normal for guys to dribble after peeing,True,"Post-void dribbling or post-micturition dribbling is the where urine remaining in the urethra after voiding the bladder slowly leaks out after urination. A common and usually benign complaint, it may be a symptom of urethral diverticulum, prostatitis and other medical problems."
