question,answer,passage
is brown cane sugar the same as brown sugar,False,"Natural brown sugar, raw sugar or whole cane sugar are sugars that retain a small to large amount of the molasses from the mother liquor (the partially evaporated sugar cane juice). Based upon weight, brown cane sugar when fully refined yields up to 70% white sugar, the degree depending on how much molasses remained in the sugar crystals, which in turn is dependent upon whether the brown sugar was centrifuged or not. As there is more molasses in natural brown sugar, it contains minor nutritional value and mineral content. Some natural brown sugars have particular names and characteristics, and are sold as turbinado, demerara or raw sugar if they have been centrifuged to a large degree. Brown sugars that have been only mildly centrifuged or unrefined (non-centrifuged) retain a much higher degree of molasses and are called various names across the globe according to their country of origin: e.g. panela, rapadura, jaggery, muscovado, piloncillo, etc."
is just breathe by pearl jam in a movie,True,"The song has been featured in several TV shows and movies, including Kodachrome, Castle, One Tree Hill, Brothers & Sisters, Life as We Know It, The Blacklist, Grey's Anatomy, The Night Shift and iZombie in addition to the documentaries Buck and Gleason."
is there going to be a 2nd infinity wars,True,"The untitled Avengers film, colloquially referred to as Avengers 4, is an upcoming American superhero film based on the Marvel Comics superhero team the Avengers, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It is intended to be the direct sequel to 2018's Avengers: Infinity War, as well as the sequel to 2012's Marvel's The Avengers and 2015's Avengers: Age of Ultron and the twenty-second film in the Marvel Cinematic Universe (MCU). The film is directed by Anthony and Joe Russo, with a screenplay by the writing team of Christopher Markus and Stephen McFeely, and features an ensemble cast with many actors from previous MCU films."
is there a minor league baseball team in orlando,False,"There had been a grassroots campaign to attract Major League Baseball permanently to Orlando, with initial speculation pointed to the group building an MLB-class stadium with private financing. However, the group has settled for attracting a Class-A minor-league team with a new stadium on International Drive. They announced they were discussing a possible purchase of the Tampa Yankees in 2010, but those plans fell apart when a potential stadium construction deal was struck down."
is kingdom manga based on a true story,True,"Kingdom (キングダム, Kingudamu) is a Japanese manga series written and illustrated by Yasuhisa Hara (原泰久, Hara Yasuhisa). The manga provides a fictionalized account of the Warring States period primarily through the experiences of the war orphan Xin and his comrades as he fights to become the greatest general under the heavens, and in doing so, unifying China for the first time in history. The series was adapted into a thirty-eight episode anime series by studio Pierrot that aired from June 4, 2012 to February 25, 2013. A second season was announced and aired from June 8, 2013 to March 1, 2014. An English language release of the anime was licensed by Funimation."
a government is a sovereign member of the world community,False,"Membership within the United Nations system divides the 206 listed states into three categories: 193 member states, 2 observer states, and 11 other states. The sovereignty dispute column indicates states whose sovereignty is undisputed (190 states) and states whose sovereignty is disputed (16 states, out of which there are 6 member states, 1 observer state and 9 other states)."
was the leaning tower of pisa built leaning,False,"The tower's tilt began during construction in the 12th century, caused by an inadequate foundation on ground too soft on one side to properly support the structure's weight. The tilt increased in the decades before the structure was completed in the 14th century. It gradually increased until the structure was stabilized (and the tilt partially corrected) by efforts in the late 20th and early 21st centuries."
is ashley homestore the same as ashley furniture,True,"Ashley HomeStore is an American furniture store chain that sells Ashley Furniture products. Opened in 1997, the chain comprises over 800 locations worldwide. The chain has both corporate and independently owned and operated furniture stores."
is 1 liter of water equal to 1 kg,True,"One litre of liquid water has a mass of almost exactly one kilogram, because the kilogram was originally defined in 1795 as the mass of one cubic decimetre of water at the temperature of melting ice. Subsequent redefinitions of the metre and kilogram mean that this relationship is no longer exact."
is thanksgiving always the last thursday of the month,True,"Thanksgiving, or Thanksgiving Day, is a public holiday celebrated on the fourth Thursday of November in the United States. It originated as a harvest festival. Thanksgiving has been celebrated nationally on and off since 1789, after Congress requested a proclamation by George Washington. It has been celebrated as a federal holiday every year since 1863, when, during the American Civil War, President Abraham Lincoln proclaimed a national day of ``Thanksgiving and Praise to our beneficent Father who dwelleth in the Heavens,'' to be celebrated on the last Thursday in November. Together with Christmas and the New Year, Thanksgiving is a part of the broader fall/winter holiday season in the U.S."
will there be a season 2 of boy band,True,"Produce 101 Season 2 (Hangul: 프로듀스 101 시즌 2) is a 2017 boy group survival reality show on Mnet. It is a large-scale project in which the public (called 'national producers') ``produces'' a boy band by choosing 11 members among 101 trainees from 54 entertainment companies. The public also chooses the group's concept, debut song, and group name. On June 16, 2017, the season finale was broadcast live, announcing the final 11 members who would debut, as well as the official group name Wanna One."
was the movie the way back a true story,True,"The Way Back is a 2010 American survival drama film directed by Peter Weir, from a screenplay by Weir and Keith Clarke. The film is inspired by The Long Walk (1956), the memoir by former Polish prisoner of war Sławomir Rawicz, who claimed to have escaped from a Soviet Gulag and walked 4,000 miles to freedom in World War II. The film stars Jim Sturgess, Colin Farrell, Ed Harris, and Saoirse Ronan, with Alexandru Potocean, Sebastian Urzendowsky, Gustaf Skarsgård, Dragoș Bucur and Mark Strong."
is cape town the capital city of south africa,True,"As the place where the Parliament of South Africa is found, Cape Town is the legislative capital of South Africa. The other two capitals are located in Pretoria (the administrative capital where the President and Cabinet work) and Bloemfontein (the judicial capital where the National Court of Appeal is located). The city is known for its harbour, for its natural setting in the Cape Floristic Region, and for landmarks as Table Mountain and Cape Point. As of 2014, it is the 10th most populous city in Africa and home to 64% of the Western Cape's population. It is one of the most multicultural cities in the world, reflecting its role as a major destination for immigrants and expatriates to South Africa. The city was named the World Design Capital for 2014 by the International Council of Societies of Industrial Design. In 2014, Cape Town was named the best place in the world to visit by both The New York Times and The Daily Telegraph."
is samurai champloo based on a true story,True,"Samurai Champloo contains many scenes and episodes relating to historical occurrences in Japan's Edo period. In episode 5 (``Artistic Anarchy''), Fuu is kidnapped by the famous ukiyo-e painter Hishikawa Moronobu, a figure prominent in the Edo period's art scene. Episode 23 (``Baseball Blues'') pits the main characters in a baseball game against Alexander Cartwright and a team of American baseball players trying to declare war on Japan. As for Western influences, the opening of the show as well as many of the soundtracks are influenced by hip hop. In episode 5, Vincent van Gogh is referenced at the end in relation to Hishikawa Moronobu's ukiyo-e paintings. A hip hop singer challenges the main characters in episode 8 (``The Art of Altercation'') and uses break dance throughout. In episode 18 (``War of the Words''), graffiti tagging, a culturally Western art form, is performed by characters as an artistic expression and form of writing. The ending of the episode has Mugen writing his name on the roof of Hiroshima Castle, the palace of the daimyō in Edo Japan."
has there been any space missions to mars,False,"A human mission to Mars has been the subject of science fiction, aerospace engineering, and scientific proposals since the 19th century. The plans comprise proposals to land on Mars, eventually settling on and terraforming the planet, while utilizing its moons, Phobos and Deimos."
does a karyotype tell all of a person's genetic characteristics,True,A karyotype is the number and appearance of chromosomes in the nucleus of an eukaryotic cell. The term is also used for the complete set of chromosomes in a species or in an individual organism and for a test that detects this complement or measures the number.
does the b 52 have a tail gunner,True,"A tail gunner or rear gunner is a crewman on a military aircraft who functions as a gunner defending against enemy fighter attacks from the rear, or ``tail'', of the plane. The tail gunner operates a flexible machine gun emplacement in the tail end of the aircraft with an unobstructed view toward the rear of the aircraft. While the term tail gunner is usually associated with a crewman inside a gun turret, the first tail guns were operated from open apertures within the aircraft's fuselage, like in the Scarff ring mechanism used in the British Handley Page V/1500 (a 1918 aircraft), and also, in the most evolved variants of this type of air-to-air anti-aircraft defense, they may also be operated by remote control from another part of the aircraft, like in the American B-52 bombers (an aircraft first introduced in 1955 but still in service)."
is fox and 21st century fox the same,True,"21st Century Fox's assets include the Fox Entertainment Group--owners of the 20th Century Fox film studio (the company's partial namesake), Fox television network and Fox News channel, and a majority stake in National Geographic Partners--the commercial media arm of the National Geographic Society, among other assets. It also has significant foreign operations, including the pan-Asian pay channel operator Star TV, as well as an approximately 39% stake in Sky plc--a European operator of satellite television providers and pay channels in Austria, Germany, Italy, Ireland, and the United Kingdom."
original wizard of oz was it in color,True,"In his book The Wonderful Wizard of Oz, Baum describes Kansas as being ``in shades of gray''. Further, Dorothy lived inside a farmhouse which had its paint blistered and washed away by the weather, giving it an air of grayness. The house and property were situated in the middle of a sweeping prairie where the grass was burnt gray by harsh sun. Aunt Em and Uncle Henry were ``gray with age''. Effectively, the use of monochrome sepia tones for the Kansas sequences was a stylistic choice that evoked the dull and gray countryside. Much attention was given to the use of color in the production, with the MGM production crew favoring some hues over others. Consequently, it took the studio's art department almost a week to settle on the final shade of yellow used for the yellow brick road."
has the united states signed the convention on the rights of the child,False,"On 16 February 1995, Madeleine Albright, at the time the U.S. Ambassador to the United Nations, signed the Convention. However, though generally supportive of the Convention, President Bill Clinton did not submit it to the Senate. Likewise, President Bush did not submit the Convention to the Senate. President Barack Obama has described the failure to ratify the Convention as 'embarrassing' and has promised to review this. The Obama administration said that it intended to submit the Convention to the Senate, but failed to do so. As of June 2018, the Trump administration has not ratified the convention."
is the art institute of las vegas accredited,True,"Located at 2350 Corporate Circle in Henderson, Nevada, The Art Institute of Las Vegas is accredited by the Accrediting Council for Independent Colleges and Schools to award certificates, associate's degrees, and bachelor's degrees. The Accrediting Council for Independent Colleges and Schools is listed as a nationally recognized accrediting agency by the United States Department of Education and is recognized by the Council for Higher Education Accreditation. ACICS was stripped of its power to accredit by the US Department of Education in September 2016, effectively placing The Art Institute of Las Vegas in the process of losing its accreditation."
is hawaii five o returning for season 8,True,"The eighth season of the CBS police procedural drama series Hawaii Five-0 premiered on September 29, 2017 for the 2017--18 television season. CBS renewed the series for a 23 episode eighth season on March 23, 2017. However, on November 6, 2017 CBS ordered an additional episode for the season and did the same again on February 8, 2018 bringing the count to 25 episodes. The season concluded on May 18, 2018. The eighth season ranked #18 for the 2017-18 television season and had an average of 11 million viewers. The series was also renewed for a ninth season."
is the tour de france route always the same,True,"Traditionally, the race is held primarily in the month of July. While the route changes each year, the format of the race stays the same with the appearance of time trials, the passage through the mountain chains of the Pyrenees and the Alps, and the finish on the Champs-Élysées in Paris. The modern editions of the Tour de France consist of 21 day-long segments (stages) over a 23-day period and cover around 3,500 kilometres (2,200 mi). The race alternates between clockwise and counterclockwise circuits of France."
can a battery charger be used to jumpstart a car,True,"Motorists and service garages often have portable battery chargers operated from AC power. Very small ``trickle'' chargers are intended only to maintain a charge on a parked or stored vehicle, but larger chargers can put enough charge into a battery to allow a start within a few minutes. Battery chargers may be strictly manual, or may include controls for time and charging voltage. Battery chargers that apply high voltage (for example, more than 14.4 volts on a 12 volt nominal system) will result in emission of hydrogen gas from the battery, which may damage it or create an explosion risk. A battery may be recharged without removal from the vehicle, although in a typical roadside situation no convenient source of power may be nearby."
is oakley and ray ban the same company,True,"As a vertically integrated company, Luxottica designs, manufactures, distributes and retails its eyewear brands, including LensCrafters, Sunglass Hut, Apex by Sunglass Hut, Pearle Vision, Sears Optical, Target Optical, Eyemed vision care plan, and Glasses.com. Its best known brands are Ray-Ban, Persol, and Oakley."
will there be a season 2 of marvel's iron fist,True,"The second season of the American web television series Iron Fist, which is based on the Marvel Comics character of the same name, follows Danny Rand / Iron Fist, a martial arts expert with the ability to call upon the power of the Iron Fist. It is set in the Marvel Cinematic Universe (MCU), sharing continuity with the films and other television series of the franchise. The season is produced by Marvel Television in association with ABC Studios, with Raven Metzner serving as showrunner."
is a skunk in cribbage worth two wins,True,"In a two-player game of cribbage, a player scores one match point for winning a game. Their opponent will start as dealer in the next game. If a player lurches (British) or skunks (US) their opponent (reaches 121 points before their opponent scores 91 points), that player wins two match points for that game. If a player double skunks their opponent (reaches 121 points before their opponent reaches 61), they score three or four match points for the game, depending on local convention. If a player triple skunks their opponent (reaches 121 points before their opponent reaches 31 points), they automatically win the match. Double and triple skunks are not included in the official rules of cribbage play and are optional. There are several different formats for scoring match points."
what is the significance of independence day in the philippines,False,"Independence Day (Filipino: Araw ng Kasarinlan; also known as Araw ng Kalayaan, (or ``Day of Freedom'') is an annual national holiday in the Philippines observed on June 12, commemorating the independence of the Philippines from Spain."
is there such a thing as unbreakable glass,True,"Unbreakable glass is glass, or glass substitute, which does not display the normal fragility of glass - in general the term is not used to refer to something that is absolutely unbreakable."
is black and yellow song about the steelers,True,"The song is about Khalifa's car, a yellow Dodge Challenger Hemi with black stripes. He has stated that he got the car in those colors as a tribute to his hometown of Pittsburgh, Pennsylvania, whose official colors are black and gold, and its professional sports teams, most of whose colors are black and some variation of gold or yellow. The song itself does not mention Pittsburgh or sports, although the song's music video made the connection to Pittsburgh explicit, showing various iconic locations in the city, as well as apparel associated with the football team the Pittsburgh Steelers, the hockey team the Pittsburgh Penguins, and the baseball team the Pittsburgh Pirates. In the year after it was released, ``Black and Yellow'' spawned dozens of remixes, parodies and remakes, both in the US and internationally, many of them made in tribute to a local sports team. At Super Bowl XLV in 2011, which featured the Steelers competing against the Green Bay Packers, the Steelers used ``Black and Yellow'' as their fight song, while the Packers used a remix by Lil' Wayne called ``Green and Yellow'', marking the first time both teams at the Super Bowl had used the same song."
was canada part of the british empire during ww2,False,"When the United Kingdom declared war on Nazi Germany at the outset of World War II it controlled to varying degrees numerous crown colonies, protectorates and the Indian Empire. It also maintained unique political ties to four semi-independent Dominions--Australia, Canada, South Africa, and New Zealand--as part of the Commonwealth. In 1939 the British Commonwealth was a global superpower, with direct or de facto political and economic control of 25% of the world's population, and 30% of its land mass."
are marshmallow fluff and marshmallow creme the same,False,"Marshmallow creme is an American confection, a rich sweet marshmallow spread usually eaten for breakfast. One brand of marshmallow creme is Marshmallow Fluff, which is used to make the New England ``Fluffernutter'' sandwich. This is manufactured by Durkee-Mower, Inc. Its ingredients include corn syrup, sugar syrup, vanilla flavor, and egg whites."
can puppies see right when their eyes open,True,"Puppies are born with a fully functional sense of smell but can't open their eyes. During their first two weeks, a puppy's senses all develop rapidly. During this stage the nose is the primary sense organ used by puppies to find their mother's teats, and to locate their littermates, if they become separated by a short distance. Puppies open their eyes about nine to eleven days following birth. At first, their retinas are poorly developed and their vision is poor. Puppies are not able to see as well as adult dogs. In addition, puppies' ears remain sealed until about thirteen to seventeen days after birth, after which they respond more actively to sounds. Between two and four weeks old, puppies usually begin to growl, bite, wag their tails, and bark."
is the salmon cooked in a philadelphia roll,True,"A Philadelphia roll is a makizushi (also classified as a kawarizushi) type of sushi generally made with smoked salmon, cream cheese, and cucumber. It can also include other ingredients, such as other types of fish, avocado, scallions, and sesame seed."
are liquor stores open on memorial day in okc,True,"It is illegal to sell packaged liquor (off-premises sales) on Sundays. Sales also are prohibited on Memorial Day, Independence Day, Labor Day, Thanksgiving Day, and Christmas Day. Low-point beer for consumption off-premises may not be sold between 2:00 a.m. and 6:00 a.m."
do sam and dean find their mother killer,True,"Azazel's last appearance chronologically is in the second season finale ``All Hell Breaks Loose'', where he kidnaps Sam and the other young adults that he had infected. He visits Sam in a dream, and reveals that his ``special children'' must fight to the death to determine who will lead his army. Although Sam is the demon's favorite, the super-strong Jake Talley becomes the winner. As Dean sells his soul to another demon in exchange for Sam's resurrection, Azazel gives Jake the Colt and coerces him to travel to a cemetery in the middle of a giant devil's trap. Though Sam and Dean, along with other hunters, attempt to stop him, Jake uses the Colt as a key to unlock a mausoleum there. This action briefly opens a gateway to Hell, releasing Lilith and hundreds of other demons. With the devil's trap around the cemetery now broken, Azazel confronts the Winchesters and easily overpowers them. However, John's soul escapes through the Gate, and distracts Azazel long enough for Dean to shoot him dead with the Colt."
is j crew and j crew factory the same,True,"The company operates 575 retail stores, including 281 J.Crew stores, 113 Madewell stores, and 181 J.Crew Factory (including 39 J.Crew Mercantile) outlet locations, as reported in 2017. The company also operates internationally in Canada, France, UK, China, and Korea. Additionally, the company has 76 locations in Japan, which are operated under license by ITOCHU Corporation."
does the cat in the hat have a name,False,"The story begins as a girl named Sally and her brother, who serves as the narrator of the book, sit alone in their house on a cold, rainy day, staring wistfully out the window. Then they hear a loud bump which is quickly followed by the arrival of the Cat in the Hat, a tall anthropomorphic cat in a red and white striped hat and a red bow tie. The Cat proposes to entertain the children with some tricks that he knows. The children's pet fish refuses, insisting that the Cat should leave. The Cat responds by balancing the fish on the tip of his umbrella. The game quickly becomes increasingly trickier, as the Cat balances himself on a ball and tries to balance lots of household items on his limbs until he falls on his head, dropping everything he was holding. The fish admonishes him again, but the Cat in the Hat just proposes another game."
harry potter forbidden journey does it go upside down,True,"Harry Potter and the Forbidden Journey uses KUKA robocoaster technology, which allows the seats to pivot while being held above the track by a robotic arm. However, the ride is not a roller coaster but a scenic dark ride. The experience includes a flight around Hogwarts castle, an encounter with the Whomping Willow and a horde of Dementors, and a Quidditch match. The ride drops, spins around, twists and turns, but does not turn upside down, though passengers sometimes lie flat on their backs. Over-the-shoulder bars are used to secure guests in their seats, and a single parabolic metal bar is used as a hand grip. At the conclusion of the ride, guests exit into Filch's Emporium of Confiscated Goods gift shop."
are prime minister's questions known in advance,False,"Although prime ministers have answered questions in parliament for centuries, until the 1880s questions to the prime minister were treated the same as questions to other Ministers of the Crown: asked without notice, on days when ministers were available in whatever order MPs rose to ask them. In 1881 fixed time-limits for questions were introduced and questions to the prime minister were moved to the last slot of the day as a courtesy to the 72-year-old prime minister at the time, William Gladstone, so he could come to the Commons later in the day. In 1953, when Winston Churchill was prime minister, it was agreed that questions would be submitted on fixed days (Tuesdays and Thursdays)."
is it legal to carry a gun in nyc,True,"New York state law does not require a license to own or possess long guns, but does require a permit to legally possess or own a pistol. However, all firearms must comply with the NY SAFE Act, which bans guns considered ``assault weapons'' from ownership by private citizens, unless they were owned prior to the ban."
is 45 colt the same as long colt,True,"The .45 Colt, which is sometimes mistakenly called .45 Long Colt (.45 LC) (11.43×33mmR) cartridge, is a handgun cartridge dating to 1872. It is a black-powder revolver round developed for the Colt Single Action Army revolver. This cartridge was adopted by the U.S. Army in 1873 and served as an official US military handgun cartridge for 14 years. While it is sometimes referred to as .45 Long Colt or .45 LC, to differentiate it from the very popular and ubiquitous .45 ACP, and historically, the shorter .45 S&W Schofield, it was only an unofficial designation by Army quartermasters. Current catalog listings of compatible handguns list the caliber as .45 LC and .45 Colt. Both the Schofield and the .45 Colt were used by the Army at the same period of time prior to the adoption of the M1887 Govt."
does the social security fund have a surplus,True,"According to the Social Security Trustees, who oversee the program and report on its financial condition, program costs are expected to exceed non-interest income from 2010 onward. However, due to interest (earned at a 3.6% rate in 2014) the program will run an overall surplus that adds to the fund through the end of 2019. Under current law, the securities in the Trust Fund represent a legal obligation the government must honor when program revenues are no longer sufficient to fully fund benefit payments. However, when the Trust Fund is used to cover program deficits in a given year, the Trust Fund balance is reduced. By 2034, the Trust Fund is expected to be exhausted. Thereafter, payroll taxes are projected to only cover approximately 79% of program obligations."
is there a book 4 of avatar the last airbender,True,"Dark Horse published a graphic-novel series by Gene Yang that continues Aang's story after the Hundred Years' War. Avatar: The Last Airbender -- The Promise, published in three volumes in 2012, explores the fate of the Fire Nation colonies that become The Legend of Korra's United Republic. A second set of three comic books, Avatar: The Last Airbender -- The Search, focuses on Zuko and Azula, and the fate of their mother Ursa. The third set, Avatar: The Last Airbender -- The Rift, shifts the focus to Aang, the creation of Republic City, and Toph's relationship with her family. The Rift was followed by Avatar: The Last Airbender -- Smoke and Shadow about a resistance force in the Fire Nation against Firelord Zuko, who at the end of the original series assumed the throne. The fifth graphic novel was Avatar: The Last Airbender -- North and South, which follows the events of Smoke and Shadow and is about Katara and Sokka returning to the Water Tribe to see various changes to their homeland. The next planned graphic novel is titled Imbalance and is planned to be released in October 2018. The series explores the emerging conflict between the benders and non-benders that becomes the center for the conflict in the first season of the sequel the Legend of Korra. Unlike the previous five books it is will not be written by Gene Yang."
can i use dexron iii for dexron ii,True,"In 1993, GM released new Dexron-III fluid (GM Spec GM6417M and later GMN10055). It is generally backward-compatible with transmissions using earlier Dexron fluids or Type-A/Suffix-A fluid. However this specification failed to address a number of issues concerning long term durability such as shear stability and fluid oxidation. Dexron-III underwent a number of iterations in an attempt to address various shortcomings but was eventually replaced by new thinking i.e. DEXRON-VI."
is it a felony to steal road signs,False,"In most jurisdictions, the theft of traffic signage is treated like any other theft with respect to prosecution and sentencing. If, however, the theft leads to an injury, then the thieves may be found criminally liable for the injury as well, provided that an injury of that sort was a foreseeable consequence of such a theft. In one notable United States case, three people were found guilty of manslaughter for stealing a stop sign and thereby causing a deadly collision. This was publicized in the novel Driver's Ed by Caroline B. Cooney."
does oregon have the stand your ground law,False,"The states that have adopted stand-your-ground in practice, either through case law/precedent, jury instructions or by other means, are California, Colorado, Illinois, New Mexico, Oregon, Virginia, and Washington."
can you pitch and dh at the same time,True,"In Major League Baseball, the designated hitter is a hitter who does not play a position, but instead fills in the batting order for the pitcher. The DH may only be used for the pitcher (and not any other position player), as stated in Rule 5.11. Use of the DH is optional, but must be determined prior to the start of the game. If a team does not begin a game with a DH, the pitcher (or a pinch-hitter) must bat for the entire game."
is jim hart in the hall of fame,True,"Hart was named the NFC Player of the Year by UPI, All-NFC and second team All-Pro for the 1974 season. Hart was inducted into the Missouri Sports Hall of Fame in 1998 for his contribution to the sport of football."
do you need a visa for the vatican city,True,"Although not a member of either the European Union or the European Economic Area, the Vatican maintains an open border with Italy and is treated as part of the Schengen Area. Since the Vatican City is only accessible via Italy entrance is not possible without entering the Schengen Area first and therefore Schengen visa rules apply de facto. Nevertheless, Vatican City doesn't have any tourist accommodation (hotels or rental apartments), it's therefore virtually impossible to actually stay overnight as a tourist."
is air national guard part of the air force,False,"When Air National Guard units are used under the jurisdiction of the state governor they are fulfilling their militia role. However, if federalized by order of the President of the United States, ANG units become an active part of the United States Air Force. They are jointly administered by the states and the National Guard Bureau, a joint bureau of the Army and Air Force that oversees the National Guard of the United States."
