q_number,passage,question,actual_answer,ensemble_pred,phi_pred,mistral_pred,llama_pred,gpt4o_mini_pred,gpt41_mini_pred
146,"In 2004 a new range of Dr. Martens was launched in an attempt to appeal to a wider market, and especially young people. The shoes and boots were intended to be more comfortable, and easier to break in, and included some new design elements. Dr. Martens also began producing footwear again at the Cobbs Lane Factory in Wollaston, England in 2004. These products are part of the ``Vintage'' line, which the company advertises as being made to the original specifications. Sales of these shoes are low in comparison to those made in Asia, however; in 2010, the factory was producing about 50 pairs per day. In 2005, the R. Griggs company was given an award by the ``Institute for Turnaround'' for implementing a successful restructure.",are doc martens still made in the uk,True,True,True,False,False,True,True
155,"Goalkeepers are normally allowed to handle the ball within their own penalty area, and once they have control of the ball in their hands opposition players may not challenge them for it. However the back-pass rule prohibits goalkeepers from handling the ball after it has been deliberately kicked to them by a team-mate, or after receiving it directly from a throw-in taken by a team-mate. Back-passes with parts of the body other than the foot, such as headers, are not prohibited. Despite the popular name ``back-pass rule'', there is no requirement in the laws that the kick or throw-in must be backwards; handling by the goalkeeper is forbidden regardless of the direction the ball travels.",can goalie pick up ball from throw in,False,False,True,False,True,False,False
156,"Stay on Main (formerly Cecil Hotel, Hotel Cecil and informally The Cecil) is a budget hotel in Downtown Los Angeles, located at 640 S. Main Street, opened in 1927. It has 600 guest rooms. The hotel has a checkered history, but is currently being renovated and redeveloped into a mix of hotel rooms and residential units.",is the cecil hotel still open in los angeles,True,True,True,True,True,True,False
158,"Kiester is a city in Faribault County, Minnesota, United States. The population was 501 at the 2010 census.",is there a town named keister in the united states,True,True,True,True,True,False,False
173,"The eighth season of the animated television series My Little Pony: Friendship Is Magic, developed by Lauren Faust, originally aired on the Discovery Family channel in the United States. The series is based on Hasbro's My Little Pony line of toys and animated works and is often referred by collectors to be the fourth generation, or ``G4'', of the My Little Pony franchise. Season 8 of the series premiered on March 24, 2018, on Discovery Family, an American pay television channel partly owned by Hasbro.",is there going to be a my little pony season 8,True,True,True,True,True,True,True
195,"Taylor Hayes is a fictional character from the American CBS soap opera The Bold and the Beautiful, portrayed by Hunter Tylo. The character was created by William J. Bell and debuted during the episode dated June 6, 1990. Tylo appeared as a regular continuously until 1994 when she took a hiatus for a few months before being written back into the series. In 1996, she left the serial after being cast on Melrose Place, where she was soon fired on the grounds of being pregnant, and returned shortly after. In 2002, Tylo and the show's executive producer Bradley Bell had mutually agreed that the character was ``played out'', and Taylor was subsequently killed off, last appearing on October 30, 2002. Tylo returned in 2004, reprising Taylor as a ghost. She returned on a permanent basis in April 2005, with the character revealed to be alive. Tylo exited The Bold and the Beautiful again in July 2013, but returned for multiple guest appearances in 2014. She returned again in April 2018.",is taylor still on the bold and beautiful,True,True,True,False,False,True,True
196,"Canadian pet skunks must be purchased from a USDA-certified breeder in the United States. An import permit is required from the Canadian Food Inspection Agency to bring the skunk into the country. The skunk must be spayed or neutered, and receive a microchip implant or tattoo. A vet check fee must also be paid. It is illegal to keep striped skunks as pets in Canada.",can you have a skunk as a pet in canada,True,True,True,False,False,True,True
199,"The de facto official language of the United Kingdom is English, which is spoken by approximately 59.8 million residents, or 98% of the population, over the age of three. An estimated 700,000 people speak Welsh in the UK, an official language in Wales and the only de jure official language in any part of the UK. Approximately 1.5 million people in the UK speak Scots--although there is debate as to whether this is a distinct language, or a variety of English.",does the united kingdom have an official language,False,False,True,False,False,True,False
210,"Not since 1945 has there been bigger notes than £50 issued for general circulation by the Bank of England, although banks in Scotland and Northern Ireland still use £100 notes. However, the Bank of England does produce higher-value notes that are used to maintain parity with Scottish and Northern Irish notes. Banknotes issued by Scottish and Northern Irish banks have to be backed pound for pound by Bank of England notes (other than a small amount representing the currency in circulation in 1845), and special £1 million and £100 million notes are used for this purpose. Their design is based on the old Series A notes.",is there such thing as a 100 pound note,True,True,True,False,False,True,True
214,"The rushing sound that one hears is in fact the noise of the surrounding environment, resonating within the cavity of the shell. The same effect can be produced with any resonant cavity, such as an empty cup or even by simply cupping one's hand over one's ear. The similarity of the noise produced by the resonator to that of the oceans is due to the resemblance between ocean movements and airflow.",can u really hear the ocean in a shell,False,True,True,False,False,True,True
225,"The two go to Hawaii, explore the country and just be blissful for a day. The next day, Maddy has to be taken to a hospital because she begins to feel extremely sick. Her heart stops, but only for a moment.",did they actually go to hawaii in everything everything,True,True,True,False,False,True,True
242,"In the late 1970s up to the early 1990s, Marvel Entertainment Group (MEG) sold options to studios to produce films based on Marvel Comics characters. One of Marvel's superheroes, Spider-Man, was optioned in the late 1970s, and rights reverted to Marvel without a film having been produced within the allotted timeframe. From 1986 to 1996, most of Marvel's major characters had been optioned, including the Fantastic Four, X-Men, Daredevil, Hulk, Silver Surfer, and Iron Man. A Howard the Duck film made it to the screen in 1986, but was a box-office flop. MEG was purchased by New World Entertainment in November 1986 and moved to produce films based on the Marvel characters. It released The Punisher (1989) before MEG was sold to Ronald Perelman's Andrews Group. Two other films were produced: Captain America (1990) released in the United Kingdom on screens and direct to video in the United States, and The Fantastic Four (1994), not intended for release. Marvel's rival DC Comics, on the other hand, had success licensing its properties Superman and Batman into successful film franchises.",does marvel own the rights to fantastic four,True,True,True,False,True,True,False
249,"On December 4, 2012, the University of Arkansas named Bret Bielema the football team's new head coach. The position was previously held by John L. Smith, who served as the interim coach while UofA found a replacement for Bobby Petrino after Petrino was released from his duties with cause on April 10, 2012. Petrino followed the ten season tenure of Houston Nutt. The team plays its home games either at Donald W. Reynolds Razorback Stadium, located on the University of Arkansas campus in Fayetteville, or at War Memorial Stadium, located in Little Rock. In 1964, the Razorbacks were the only team to go through the regular season and a bowl game undefeated, and they were awarded the Football Writers Association of America National Championship. The 1969 team, led by quarterback Bill Montgomery, challenged the Texas Longhorns for a national championship in the Game of the Century.",have the arkansas razorbacks ever won a national championship in football,True,True,True,True,False,False,True
254,"A standard home blow dryer will kill 96.7% of eggs with proper technique. To be effective, the blow dryer must be used repeatedly (every 1 to 7 days since eggs hatch in 7 to 10 days) until the natural life cycle of the lice is over (about 4 weeks).",does blow drying your hair kill lice eggs,True,True,True,True,False,True,True
261,"England played against Sweden in their quarter-final at Cosmos Arena, Samara on 7 July 2018. They won the match 2--0, with defender Harry Maguire scoring his first England goal, a header scored from a corner, and Dele Alli a second header from close range. This would send them through to their third World Cup semi-final and their first since 1990, and third overall. The team played Croatia in the semi-final, resulting in a 2--1 loss after extra time. England would later finish fourth in the competition, the best result since 1990. England would lose again to Belgium in the 3rd place playoff, thanks to goals from Thomas Meunier and Eden Hazard, despite a Eric Dier shot being cleared off the line by Toby Alderweireld.",are england in the world cup semi finals,True,True,True,True,False,True,False
269,"The Title of Nobility Clause is a provision in Article I, Section 9, Clause 8 of the United States Constitution, that prohibits the federal government from granting titles of nobility, and restricts members of the government from receiving gifts, emoluments, offices or titles from foreign states without the consent of the United States Congress. Also known as the Emoluments Clause, it was designed to shield the republican character of the United States against so-called ``corrupting foreign influences''. This shield is reinforced by the corresponding prohibition on state titles of nobility in Article I, Section 10, and more generally by the Republican Guarantee Clause in Article IV, Section 4.",can a us citizen hold a foreign title,True,False,False,False,False,True,False
274,"The office is not established by any statute or constitutional document but exists only by long-established convention, which stipulates that the monarch must appoint as Prime Minister the person most likely to command the confidence of the House of Commons; this individual is typically the leader of the political party or coalition of parties that holds the largest number of seats in that chamber. The position of Prime Minister was not created; it evolved slowly and erratically over three hundred years due to numerous acts of Parliament, political developments, and accidents of history. The office is therefore best understood from a historical perspective. The origins of the position are found in constitutional changes that occurred during the Revolutionary Settlement (1688--1720) and the resulting shift of political power from the Sovereign to Parliament. Although the Sovereign was not stripped of the ancient prerogative powers and legally remained the head of government, politically it gradually became necessary for him or her to govern through a Prime Minister who could command a majority in Parliament.",does prime minister have to be an mp,False,False,True,False,False,True,False
302,"Because of the unusual format, several of the historically strongest men's national teams have unimpressive Olympic records. Uruguay won the tournament in their first two attempts, in 1924 and 1928, their only appearances before they qualified for the 2012 edition, after an 84-year absence. Argentina won silver twice (1928 and 1996) before the 2004 tournament, but its appearance in Athens, in which it won the first gold medal (the second was won in Beijing in 2008), was only their seventh overall (the eighth has been in 2016). Brazil's silver medals in the 1984, 1988 and 2012 editions were the best they had achieved until 2016's gold, and since professional athletes were allowed to compete, they failed to qualify in 1992 and 2004. Italy has only won the Olympic title once, in 1936, although it has also won two bronzes, and has the highest number of appearances in the tournament, at 15, with their last qualify in 2008. France has won the Olympic title only once (in 1984) and has failed to qualify since 1996. Germany's best result (before 2016 edition) was a single bronze medal, in 1988 (as West Germany), and the reunified team did not make an Olympic appearance until 2016, where they won silver. Spain has won the gold medal only once, in 1992. It has also won 2 silver medals (in 1920 and 2000) but has failed to qualify several times.",do professional soccer players play in the olympics,True,True,True,False,False,True,True
324,"The fifth and final season of Bates Motel premiered on February 20, 2017, and concluded on April 24, 2017. The season consisted of 10 episodes and aired on Mondays at 10 p.m. ET/PT on A&E. The series itself is described as a ``contemporary prequel'' to the 1960 film Psycho, following the life of Norman Bates and his mother Norma prior to the events portrayed in the Hitchcock film. However, the final season of the series loosely adapts the plot of Psycho. The series takes place in the fictional town of White Pine Bay, Oregon.",is there going to be a season 5 of bates motel,True,True,True,True,True,False,True
331,"The company trades under the Hastings Direct, Hastings Premier, Hastings Essential, SmartMiles, People's Choice and InsurePink brands. In 2012, the company launched a usage-based insurance product under the Hastings Direct SmartMiles brand. The SmartMiles product requires a telematics device to be fitted to the insured vehicle.",are hastings direct and hastings premier the same company,True,True,True,True,False,True,True
336,"A postal order is a financial instrument usually intended for sending money through the mail. It is purchased at a post office and is payable at another post office to the named recipient. A small fee for the service, known as poundage, is paid by the purchaser. In the United States, this is known as a postal money order. Postal orders are not legal tender, but a type of promissory note, similar to a cheque.",is a money order the same as a postal order,False,True,False,True,True,True,True
349,"The Battle of Gettysburg (locally /ˈɡɛtɪsbɜːrɡ/ ( listen), with an /s/ sound) was fought July 1--3, 1863, in and around the town of Gettysburg, Pennsylvania, by Union and Confederate forces during the American Civil War. The battle involved the largest number of casualties of the entire war and is often described as the war's turning point. Union Maj. Gen. George Meade's Army of the Potomac defeated attacks by Confederate Gen. Robert E. Lee's Army of Northern Virginia, halting Lee's invasion of the North.",was the battle of gettysburg the bloodiest battle of the civil war,True,True,False,True,True,True,False
353,"The second season of the Fairy Tail anime series was directed by Shinji Ishihira and produced by A-1 Pictures and Satelight. Like the rest of the series, it follows the adventures of Natsu Dragneel and Lucy Heartfilia of the magical guild, Fairy Tail. The series contains two story arcs. The first 20 episodes make up the ``Nirvana'' (ニルヴァーナ, Niruvāna) arc, which adapts Hiro Mashima's Fairy Tail manga from shortly after the beginning of the 16th through the middle of the 20th volume. The arc focuses on Fairy Tail's alliance with other guilds to take down the dark guild Oración Seis, aided by the Dragon Slayer Wendy Marvell and a reformed Jellal Fernandez. The last four episodes form the self-contained ``Daphne'' (ダフネ, Dafune) arc, where Gray Fullbuster seemingly betrays the guild and helps Daphne, a deranged wizard, capture Natsu to power an artificial dragon.",will there be a second season of fairy tail,True,True,True,True,True,False,True
399,"Black's Law Dictionary 10th Ed., definition 3 is ``General law common to a country as a whole, as opposed to special law that has only local application.'' From at least the 11th century and continuing for several centuries after that, there were several different circuits in the royal court system, served by itinerant judges who would travel from town to town dispensing the King's justice in ``assizes''. The term ``common law'' was used to describe the law held in common between the circuits and the different stops in each circuit. The more widely a particular law was recognized, the more weight it held, whereas purely local customs were generally subordinate to law recognized in a plurality of jurisdictions.",is general law the same as common law,True,True,True,True,True,True,False
405,"Jason David Frank and Amy Jo Johnson, two of the stars of the original TV series, make cameo appearances as Angel Grove citizens.",are any of the original power rangers in the new movie,True,True,True,False,True,True,True
410,"Free throws can normally be shot at a high percentage by good players. In the NBA, most players make 70--80% of their attempts. The league's best shooters (such as Steve Nash, Rick Barry, Ray Allen, José Calderón, Stephen Curry, Reggie Miller, Kevin Durant, and Dirk Nowitzki) can make roughly 90% of their attempts over a season, while notoriously poor shooters (e.g. Dwight Howard, DeAndre Jordan, Wilt Chamberlain, Andre Drummond, Andris Biedrins, Chris Dudley, Ben Wallace, Shaquille O'Neal, and Dennis Rodman) may struggle to make 50% of them. During a foul shot, a player's foot must be completely behind the foul line. If a player lines up with part of his or her foot on the line, a violation is called and the shot does not count. Foul shots are worth one point.",can you hit the backboard on a free throw,True,True,True,False,False,True,True
411,"Jaws is a theme park attraction at Universal Studios Japan. Based upon the films of the same name. The attraction places guests aboard tour boats for what should be a leisurely tour of Amity Harbor, but instead becomes a harrowing chase between the craft and a very determined great white shark. Jaws is an expanded version of a famous miniature attraction on the long-running and world famous Studio Tour at Universal Studios Hollywood, also inspired by the film, and can be found at Universal Studios Japan near Osaka, and formerly, at Universal Studios Florida in Orlando.",is there a jaws ride at universal studios hollywood,False,True,True,True,False,False,True
424,"The Mummy is a 2017 American action-adventure film directed by Alex Kurtzman and written by David Koepp, Christopher McQuarrie and Dylan Kussman, with a story by Kurtzman, Jon Spaihts and Jenny Lumet. It is a reboot of The Mummy franchise and the first installment in Universal's planned Dark Universe franchise. The film stars Tom Cruise as a US soldier who accidentally unearths the ancient tomb of an entrapped Egyptian princess (Sofia Boutella). Annabelle Wallis, Jake Johnson, Courtney B. Vance and Russell Crowe also star.",is the mummy a remake of the mummy,False,False,True,True,False,False,False
434,"The Princess and the Frog is a 2009 American animated musical film produced by Walt Disney Animation Studios and released by Walt Disney Pictures. The 49th Disney animated feature film, the film is loosely based on the novel The Frog Princess by E.D. Baker, which is in turn based on the Brothers Grimm fairy tale ``The Frog Prince''. Written and directed by Ron Clements and John Musker, the film features an ensemble voice cast that stars Anika Noni Rose, Bruno Campos, Keith David, Michael-Leon Wooley, Jennifer Cody, and Jim Cummings, with Peter Bartlett, Jenifer Lewis, Oprah Winfrey, Terrence Howard, and John Goodman. Set in 1920s New Orleans, the film tells the story of a hardworking waitress named Tiana who dreams of owning her own restaurant. After kissing a prince who has been turned into a frog by an evil voodoo sorcerer, Tiana becomes a frog herself and must find a way to turn back into a human before it is too late.",is the princess and the frog a broadway musical,False,False,False,False,False,False,False
443,"Aquagenic urticaria, also known as water allergy and water urticaria, is a rarely diagnosed form of physical urticaria. The defining symptom is a itchy skin reaction resulting from contact with water, regardless of its temperature. It is sometimes described as an allergy, although it is not a true histamine-releasing allergic reaction like other forms of urticaria. This seems to not be affected by different temperatures of water, such as cold or hot, or chemicals such as fluorine and chlorine, since it is reproduced with distilled water and medical saline.",is there such a thing as being allergic to water,True,True,True,False,False,True,True
468,"Alpha Centauri is the name given to what appears as a single star to the naked eye and the brightest star in the southern constellation of Centaurus. At −0.27 apparent visual magnitude (calculated from A and B magnitudes), it is fainter only than Sirius and Canopus. The next-brightest star in the night sky is Arcturus. Alpha Centauri is a multiple-star system, with its two main stars being Alpha Centauri A (α Cen A) and Alpha Centauri B (α Cen B), usually defined to identify them as the different components of the binary α Cen AB. A third companion--Proxima Centauri (or Proxima or α Cen C)--is much further away than the distance between stars A and B, but is still gravitationally associated with the AB system. As viewed from Earth, it is located at an angular separation of 2.2° from the two main stars. Proxima Centauri would appear to the naked eye as a separate star from α Cen AB if it were bright enough to be seen without a telescope. Alpha Centauri AB and Proxima Centauri form a visual double star. Together, the three components make a triple star system, referred to by double-star observers as the triple star (or multiple star), α Cen AB-C.",can you see alpha centauri without a telescope,True,True,True,False,False,True,True
481,"The Federal Reserve Bank of New York is one of the 12 Federal Reserve Banks of the United States. It is located at 33 Liberty Street, New York, NY. It is responsible for the Second District of the Federal Reserve System, which encompasses New York State, the 12 northern counties of New Jersey, Fairfield County in Connecticut, Puerto Rico, and the U.S. Virgin Islands. Working within the Federal Reserve System, the New York Federal Reserve Bank implements monetary policy, supervises and regulates financial institutions and helps maintain the nation's payment systems.",is the federal reserve bank of new york a government agency,True,True,True,True,True,True,False
487,"Along with the show's unexpected and last-minute, renewal came some changes. The show's already-low budget was moderately trimmed, forcing cuts in the salaries of some cast members and shortened taping schedules (seven days per episode instead of the typical eight). Furthermore, Mackenzie Rosman, who played youngest daughter Ruthie, did not appear in the first six episodes. Catherine Hicks missed three episodes in season 11, as another cost-cutting move. Additionally, George Stults was absent for a few episodes at the beginning of season 11.",is ruthie in season 11 of 7th heaven,True,False,True,False,False,False,True
523,"The third season of Fargo, an American anthology black comedy--crime drama television series created by Noah Hawley, premiered on April 19, 2017, on the basic cable network FX. The season had ten episodes, and its initial airing concluded on June 21, 2017. As an anthology, each Fargo season possesses its own self-contained narrative, following a disparate set of characters in various settings, albeit in a connected shared universe.",is there going to be a third season of fargo,True,False,False,True,True,False,False
538,"Luis Clemente Tiant Vega (Spanish pronunciation: (ˈlwis ˈtjant)) (born November 23, 1940) is a former Major League Baseball (MLB) right-handed starting pitcher. He pitched 19 years primarily for the Cleveland Indians and the Boston Red Sox. He became a member of the Boston Red Sox Hall of Fame in 1997.",is luis tiant in the hall of fame,True,False,True,False,False,False,True
544,"The term ``Grand Slam'' was first applied to Bobby Jones' achievement of winning the four major golf events of 1930: The Open Championship, the U.S. Open, the U.S. Amateur and the British Amateur. When Jones won all four, the sports world searched for ways to capture the magnitude of his accomplishment. Up to that time, there was no term to describe such a feat because no one had thought it possible. The Atlanta Journal's O.B. Keeler dubbed it the ``Grand Slam,'' borrowing a bridge term. George Trevor of the New York Sun wrote that Jones had ``stormed the impregnable quadrilateral of golf.'' Keeler would later write the words that would forever be linked to one of the greatest individual accomplishments in the history of sports:",has anyone won the grand slam in golf in one year,True,True,True,False,False,True,True
560,"Gerard Marenghi (born January 24, 1920), known as Jerry Maren, is an American actor and the last surviving Munchkin of the classic 1939 MGM film The Wizard of Oz, in which he portrayed a member of the Lollipop Guild. He became the last known survivor of the Munchkin cast (there may be some child actors who played Munchkins who also are still alive), following the death of fellow Munchkin Ruth Duccini on January 16, 2014.",is anyone from the wizard of oz still alive 2017,True,True,True,False,True,True,True
563,"The primary authority on the design of the film was concept artist Albert Hurter. All designs used in the film, from characters' appearances to the look of the rocks in the background, had to meet Hurter's approval before being finalized. Two other concept artists -- Ferdinand Hovarth and Gustaf Tenggren -- also contributed to the visual style of Snow White and the Seven Dwarfs. Hovarth developed a number of dark concepts for the film, although many other designs he developed were ultimately rejected by the Disney team as less easily translated into animation than Hurter's. Tenggren was used as a color stylist and to determine the staging and atmosphere of many of the scenes in the film, as his style borrowed from the likes of Arthur Rackham and John Bauer and thus possessed the European illustration quality that Walt Disney sought. He also designed the posters for the film and illustrated the press book. However, Hovarth didn't receive a credit for the film. Other artists to work on the film included Joe Grant, whose most significant contribution was the design for the Queen's Witch form.",was snow white in color when it first came out,True,False,True,False,False,True,False
567,"The FIFA World Cup features a third place playoff, usually on the day before the final. It is often there to provide a spectacle as there is often a gap of a few days between the semi-finals and the final. The third place playoff is considered a lower-priority match to organizers, as it is frequently scheduled in one of the smaller stadia; the largest stadium (usually located in the host nation's capital city) is reserved for the final, while the semi-finals occupy the second and third-largest stadia. However, the third place match in the 1994 World Cup did use the Rose Bowl stadium, the same venue that would later host the tournament final, setting a record attendance of 91,500 for a third place playoff in FIFA World Cup history.",is there a bronze medal in the world cup,True,True,True,False,True,False,True
572,A foreign national wishing to enter Canada must obtain a temporary resident visa from one of the Canadian diplomatic missions unless he or she holds a passport issued by one of the 51 eligible visa exempt countries and territories or proof of permanent residence in the United States.,when did you have to have a passport to go to canada,True,True,True,True,False,True,True
600,"The 2017 feature film Victoria & Abdul, directed by Stephen Frears and starring Ali Fazal as Abdul Karim and Judi Dench as Queen Victoria, offers a fictionalised version of the relationship between Karim and the queen.",victoria and abdul is it a real story,False,True,True,False,False,True,True
621,"This is a list of PlayStation games compatible with all models of PlayStation 3, along with PlayStation 2 games compatible with certain earlier models of PlayStation 3. Initial PlayStation 3 models released in North America, Japan, and Asia contained both the PlayStation 2's CPU and GPU, while subsequent models contained only the GPU, and the PlayStation 2 backwards compatibility with physical discs was removed entirely in later models. However, all PlayStation 3 models can play some PlayStation 1 games via physical discs. This is accomplished entirely via software emulation and does not differ between models.",can u play playstation 2 games on ps3,True,True,True,False,False,True,True
628,"The 2018 United States elections will mostly be held on Tuesday, November 6, 2018. These midterm elections will take place in the middle of Republican President Donald Trump's term. All 435 seats in the United States House of Representatives and 35 of the 100 seats in the United States Senate will be contested. 39 state and territorial governorships and numerous other state and local elections will also be contested.",are all house of representatives up for election at the same time,True,True,True,True,True,True,True
641,"General speed limits in Germany are set by the federal government. All limits are multiples of 5 km/h. There are two default speed limits: 50 km/h (31 mph) inside built-up areas and 100 km/h (62 mph) outside built-up areas. While parts of the autobahns and many other freeway-style highways have posted limits up to 130 km/h (81 mph) based on accident experience, congestion and other factors, many rural sections have no general speed limit. The German Highway Code (Straßenverkehrsordnung) section on speed begins with the requirement which may be rendered in English:",is there no speed limit on the autobahn,False,False,False,False,False,True,False
664,"In photography, shutter speed or exposure time is the length of time when the film or digital sensor inside the camera is exposed to light, also when a camera's shutter is open when taking a photograph. The amount of light that reaches the film or image sensor is proportional to the exposure time. ​⁄ of a second will let half as much light in as ​⁄.",are exposure and shutter speed the same thing,True,True,True,False,True,False,True
676,"Mantas evolved from bottom-dwelling stingrays, eventually developing more wing-like pectoral fins. M. birostris still has a vestigial remnant of a sting barb in the form of a caudal spine. The mouths of most rays lie on the underside of the head, while in mantas they are right at the front. Manta rays and devil rays are the only ray species that have evolved into filter feeders.",do manta rays have barbs on their tails,False,False,True,False,False,False,True
