q_number,passage,question,actual_answer,4o_pred
210,"Not since 1945 has there been bigger notes than £50 issued for general circulation by the Bank of England, although banks in Scotland and Northern Ireland still use £100 notes. However, the Bank of England does produce higher-value notes that are used to maintain parity with Scottish and Northern Irish notes. Banknotes issued by Scottish and Northern Irish banks have to be backed pound for pound by Bank of England notes (other than a small amount representing the currency in circulation in 1845), and special £1 million and £100 million notes are used for this purpose. Their design is based on the old Series A notes.",is there such thing as a 100 pound note,True,False
214,"The rushing sound that one hears is in fact the noise of the surrounding environment, resonating within the cavity of the shell. The same effect can be produced with any resonant cavity, such as an empty cup or even by simply cupping one's hand over one's ear. The similarity of the noise produced by the resonator to that of the oceans is due to the resemblance between ocean movements and airflow.",can u really hear the ocean in a shell,False,False
225,"The two go to Hawaii, explore the country and just be blissful for a day. The next day, Maddy has to be taken to a hospital because she begins to feel extremely sick. Her heart stops, but only for a moment.",did they actually go to hawaii in everything everything,True,True
242,"In the late 1970s up to the early 1990s, Marvel Entertainment Group (MEG) sold options to studios to produce films based on Marvel Comics characters. One of Marvel's superheroes, Spider-Man, was optioned in the late 1970s, and rights reverted to Marvel without a film having been produced within the allotted timeframe. From 1986 to 1996, most of Marvel's major characters had been optioned, including the Fantastic Four, X-Men, Daredevil, Hulk, Silver Surfer, and Iron Man. A Howard the Duck film made it to the screen in 1986, but was a box-office flop. MEG was purchased by New World Entertainment in November 1986 and moved to produce films based on the Marvel characters. It released The Punisher (1989) before MEG was sold to Ronald Perelman's Andrews Group. Two other films were produced: Captain America (1990) released in the United Kingdom on screens and direct to video in the United States, and The Fantastic Four (1994), not intended for release. Marvel's rival DC Comics, on the other hand, had success licensing its properties Superman and Batman into successful film franchises.",does marvel own the rights to fantastic four,True,True
249,"On December 4, 2012, the University of Arkansas named Bret Bielema the football team's new head coach. The position was previously held by John L. Smith, who served as the interim coach while UofA found a replacement for Bobby Petrino after Petrino was released from his duties with cause on April 10, 2012. Petrino followed the ten season tenure of Houston Nutt. The team plays its home games either at Donald W. Reynolds Razorback Stadium, located on the University of Arkansas campus in Fayetteville, or at War Memorial Stadium, located in Little Rock. In 1964, the Razorbacks were the only team to go through the regular season and a bowl game undefeated, and they were awarded the Football Writers Association of America National Championship. The 1969 team, led by quarterback Bill Montgomery, challenged the Texas Longhorns for a national championship in the Game of the Century.",have the arkansas razorbacks ever won a national championship in football,True,True
261,"England played against Sweden in their quarter-final at Cosmos Arena, Samara on 7 July 2018. They won the match 2--0, with defender Harry Maguire scoring his first England goal, a header scored from a corner, and Dele Alli a second header from close range. This would send them through to their third World Cup semi-final and their first since 1990, and third overall. The team played Croatia in the semi-final, resulting in a 2--1 loss after extra time. England would later finish fourth in the competition, the best result since 1990. England would lose again to Belgium in the 3rd place playoff, thanks to goals from Thomas Meunier and Eden Hazard, despite a Eric Dier shot being cleared off the line by Toby Alderweireld.",are england in the world cup semi finals,True,False
274,"The office is not established by any statute or constitutional document but exists only by long-established convention, which stipulates that the monarch must appoint as Prime Minister the person most likely to command the confidence of the House of Commons; this individual is typically the leader of the political party or coalition of parties that holds the largest number of seats in that chamber. The position of Prime Minister was not created; it evolved slowly and erratically over three hundred years due to numerous acts of Parliament, political developments, and accidents of history. The office is therefore best understood from a historical perspective. The origins of the position are found in constitutional changes that occurred during the Revolutionary Settlement (1688--1720) and the resulting shift of political power from the Sovereign to Parliament. Although the Sovereign was not stripped of the ancient prerogative powers and legally remained the head of government, politically it gradually became necessary for him or her to govern through a Prime Minister who could command a majority in Parliament.",does prime minister have to be an mp,False,True
302,"Because of the unusual format, several of the historically strongest men's national teams have unimpressive Olympic records. Uruguay won the tournament in their first two attempts, in 1924 and 1928, their only appearances before they qualified for the 2012 edition, after an 84-year absence. Argentina won silver twice (1928 and 1996) before the 2004 tournament, but its appearance in Athens, in which it won the first gold medal (the second was won in Beijing in 2008), was only their seventh overall (the eighth has been in 2016). Brazil's silver medals in the 1984, 1988 and 2012 editions were the best they had achieved until 2016's gold, and since professional athletes were allowed to compete, they failed to qualify in 1992 and 2004. Italy has only won the Olympic title once, in 1936, although it has also won two bronzes, and has the highest number of appearances in the tournament, at 15, with their last qualify in 2008. France has won the Olympic title only once (in 1984) and has failed to qualify since 1996. Germany's best result (before 2016 edition) was a single bronze medal, in 1988 (as West Germany), and the reunified team did not make an Olympic appearance until 2016, where they won silver. Spain has won the gold medal only once, in 1992. It has also won 2 silver medals (in 1920 and 2000) but has failed to qualify several times.",do professional soccer players play in the olympics,True,True
349,"The Battle of Gettysburg (locally /ˈɡɛtɪsbɜːrɡ/ ( listen), with an /s/ sound) was fought July 1--3, 1863, in and around the town of Gettysburg, Pennsylvania, by Union and Confederate forces during the American Civil War. The battle involved the largest number of casualties of the entire war and is often described as the war's turning point. Union Maj. Gen. George Meade's Army of the Potomac defeated attacks by Confederate Gen. Robert E. Lee's Army of Northern Virginia, halting Lee's invasion of the North.",was the battle of gettysburg the bloodiest battle of the civil war,True,True
410,"Free throws can normally be shot at a high percentage by good players. In the NBA, most players make 70--80% of their attempts. The league's best shooters (such as Steve Nash, Rick Barry, Ray Allen, José Calderón, Stephen Curry, Reggie Miller, Kevin Durant, and Dirk Nowitzki) can make roughly 90% of their attempts over a season, while notoriously poor shooters (e.g. Dwight Howard, DeAndre Jordan, Wilt Chamberlain, Andre Drummond, Andris Biedrins, Chris Dudley, Ben Wallace, Shaquille O'Neal, and Dennis Rodman) may struggle to make 50% of them. During a foul shot, a player's foot must be completely behind the foul line. If a player lines up with part of his or her foot on the line, a violation is called and the shot does not count. Foul shots are worth one point.",can you hit the backboard on a free throw,True,True
411,"Jaws is a theme park attraction at Universal Studios Japan. Based upon the films of the same name. The attraction places guests aboard tour boats for what should be a leisurely tour of Amity Harbor, but instead becomes a harrowing chase between the craft and a very determined great white shark. Jaws is an expanded version of a famous miniature attraction on the long-running and world famous Studio Tour at Universal Studios Hollywood, also inspired by the film, and can be found at Universal Studios Japan near Osaka, and formerly, at Universal Studios Florida in Orlando.",is there a jaws ride at universal studios hollywood,False,False
424,"The Mummy is a 2017 American action-adventure film directed by Alex Kurtzman and written by David Koepp, Christopher McQuarrie and Dylan Kussman, with a story by Kurtzman, Jon Spaihts and Jenny Lumet. It is a reboot of The Mummy franchise and the first installment in Universal's planned Dark Universe franchise. The film stars Tom Cruise as a US soldier who accidentally unearths the ancient tomb of an entrapped Egyptian princess (Sofia Boutella). Annabelle Wallis, Jake Johnson, Courtney B. Vance and Russell Crowe also star.",is the mummy a remake of the mummy,False,True
443,"Aquagenic urticaria, also known as water allergy and water urticaria, is a rarely diagnosed form of physical urticaria. The defining symptom is a itchy skin reaction resulting from contact with water, regardless of its temperature. It is sometimes described as an allergy, although it is not a true histamine-releasing allergic reaction like other forms of urticaria. This seems to not be affected by different temperatures of water, such as cold or hot, or chemicals such as fluorine and chlorine, since it is reproduced with distilled water and medical saline.",is there such a thing as being allergic to water,True,False
468,"Alpha Centauri is the name given to what appears as a single star to the naked eye and the brightest star in the southern constellation of Centaurus. At −0.27 apparent visual magnitude (calculated from A and B magnitudes), it is fainter only than Sirius and Canopus. The next-brightest star in the night sky is Arcturus. Alpha Centauri is a multiple-star system, with its two main stars being Alpha Centauri A (α Cen A) and Alpha Centauri B (α Cen B), usually defined to identify them as the different components of the binary α Cen AB. A third companion--Proxima Centauri (or Proxima or α Cen C)--is much further away than the distance between stars A and B, but is still gravitationally associated with the AB system. As viewed from Earth, it is located at an angular separation of 2.2° from the two main stars. Proxima Centauri would appear to the naked eye as a separate star from α Cen AB if it were bright enough to be seen without a telescope. Alpha Centauri AB and Proxima Centauri form a visual double star. Together, the three components make a triple star system, referred to by double-star observers as the triple star (or multiple star), α Cen AB-C.",can you see alpha centauri without a telescope,True,True
487,"Along with the show's unexpected and last-minute, renewal came some changes. The show's already-low budget was moderately trimmed, forcing cuts in the salaries of some cast members and shortened taping schedules (seven days per episode instead of the typical eight). Furthermore, Mackenzie Rosman, who played youngest daughter Ruthie, did not appear in the first six episodes. Catherine Hicks missed three episodes in season 11, as another cost-cutting move. Additionally, George Stults was absent for a few episodes at the beginning of season 11.",is ruthie in season 11 of 7th heaven,True,True
523,"The third season of Fargo, an American anthology black comedy--crime drama television series created by Noah Hawley, premiered on April 19, 2017, on the basic cable network FX. The season had ten episodes, and its initial airing concluded on June 21, 2017. As an anthology, each Fargo season possesses its own self-contained narrative, following a disparate set of characters in various settings, albeit in a connected shared universe.",is there going to be a third season of fargo,True,True
538,"Luis Clemente Tiant Vega (Spanish pronunciation: (ˈlwis ˈtjant)) (born November 23, 1940) is a former Major League Baseball (MLB) right-handed starting pitcher. He pitched 19 years primarily for the Cleveland Indians and the Boston Red Sox. He became a member of the Boston Red Sox Hall of Fame in 1997.",is luis tiant in the hall of fame,True,True
544,"The term ``Grand Slam'' was first applied to Bobby Jones' achievement of winning the four major golf events of 1930: The Open Championship, the U.S. Open, the U.S. Amateur and the British Amateur. When Jones won all four, the sports world searched for ways to capture the magnitude of his accomplishment. Up to that time, there was no term to describe such a feat because no one had thought it possible. The Atlanta Journal's O.B. Keeler dubbed it the ``Grand Slam,'' borrowing a bridge term. George Trevor of the New York Sun wrote that Jones had ``stormed the impregnable quadrilateral of golf.'' Keeler would later write the words that would forever be linked to one of the greatest individual accomplishments in the history of sports:",has anyone won the grand slam in golf in one year,True,True
563,"The primary authority on the design of the film was concept artist Albert Hurter. All designs used in the film, from characters' appearances to the look of the rocks in the background, had to meet Hurter's approval before being finalized. Two other concept artists -- Ferdinand Hovarth and Gustaf Tenggren -- also contributed to the visual style of Snow White and the Seven Dwarfs. Hovarth developed a number of dark concepts for the film, although many other designs he developed were ultimately rejected by the Disney team as less easily translated into animation than Hurter's. Tenggren was used as a color stylist and to determine the staging and atmosphere of many of the scenes in the film, as his style borrowed from the likes of Arthur Rackham and John Bauer and thus possessed the European illustration quality that Walt Disney sought. He also designed the posters for the film and illustrated the press book. However, Hovarth didn't receive a credit for the film. Other artists to work on the film included Joe Grant, whose most significant contribution was the design for the Queen's Witch form.",was snow white in color when it first came out,True,True
567,"The FIFA World Cup features a third place playoff, usually on the day before the final. It is often there to provide a spectacle as there is often a gap of a few days between the semi-finals and the final. The third place playoff is considered a lower-priority match to organizers, as it is frequently scheduled in one of the smaller stadia; the largest stadium (usually located in the host nation's capital city) is reserved for the final, while the semi-finals occupy the second and third-largest stadia. However, the third place match in the 1994 World Cup did use the Rose Bowl stadium, the same venue that would later host the tournament final, setting a record attendance of 91,500 for a third place playoff in FIFA World Cup history.",is there a bronze medal in the world cup,True,True
600,"The 2017 feature film Victoria & Abdul, directed by Stephen Frears and starring Ali Fazal as Abdul Karim and Judi Dench as Queen Victoria, offers a fictionalised version of the relationship between Karim and the queen.",victoria and abdul is it a real story,False,True
621,"This is a list of PlayStation games compatible with all models of PlayStation 3, along with PlayStation 2 games compatible with certain earlier models of PlayStation 3. Initial PlayStation 3 models released in North America, Japan, and Asia contained both the PlayStation 2's CPU and GPU, while subsequent models contained only the GPU, and the PlayStation 2 backwards compatibility with physical discs was removed entirely in later models. However, all PlayStation 3 models can play some PlayStation 1 games via physical discs. This is accomplished entirely via software emulation and does not differ between models.",can u play playstation 2 games on ps3,True,True
664,"In photography, shutter speed or exposure time is the length of time when the film or digital sensor inside the camera is exposed to light, also when a camera's shutter is open when taking a photograph. The amount of light that reaches the film or image sensor is proportional to the exposure time. ​⁄ of a second will let half as much light in as ​⁄.",are exposure and shutter speed the same thing,True,True
676,"Mantas evolved from bottom-dwelling stingrays, eventually developing more wing-like pectoral fins. M. birostris still has a vestigial remnant of a sting barb in the form of a caudal spine. The mouths of most rays lie on the underside of the head, while in mantas they are right at the front. Manta rays and devil rays are the only ray species that have evolved into filter feeders.",do manta rays have barbs on their tails,False,False
696,"The Souls series (ソウルシリーズ, Sōru shirīzu) is a series of action role-playing video games created and developed by FromSoftware. The series began with the release of Demon's Souls for the PlayStation 3 in 2009. It was followed by Dark Souls in 2011, and its sequels, Dark Souls II and Dark Souls III, in 2014 and 2016, respectively. The series' creator was Hidetaka Miyazaki, who directed all of them with the exception of Dark Souls II.",is demon's souls part of dark souls,True,False
701,"Saline, also known as saline solution, is a mixture of sodium chloride in water and has a number of uses in medicine. Applied to the affected area it is used to clean wounds, help remove contact lenses, and help with dry eyes. By injection into a vein it is used to treat dehydration such as from gastroenteritis and diabetic ketoacidosis. It is also used to dilute other medications to be given by injection.",is sodium chloride the same as saline water,False,False
732,"As of May 21, 2018 (2018-05-21), 120 original episodes of Vanderpump Rules have aired over six seasons.",is there a season 7 of vanderpump rules,False,True
784,"He is killed in the season 3 episode ``The Murder of One'', when Stefan, Elena and Matt kill him, thinking that it will kill all of the Originals due to their ``linked'' status. However, Klaus manages to force Bonnie into unlinking the siblings moments before Finn is killed. It is revealed through Finn's death that when an Original dies, all vampires of his or her bloodline die as well.",do any of the originals die in the originals,True,True
792,"Darden Restaurants, Inc. is an American multi-brand restaurant operator headquartered in Orlando. As of April 2017, the firm owns eight casual dining restaurant chains: Olive Garden, LongHorn Steakhouse, Bahama Breeze, Seasons 52, Eddie V's Prime Seafood, The Capital Grille, Yard House and Cheddar's Scratch Kitchen (the latter having been acquired on April 24, 2017). Until July 28, 2014, Darden also owned Red Lobster. Darden has more than 1,500 restaurant locations and more than 150,000 employees, making it the world's largest full-service restaurant company. As of 2012, Darden is the only Fortune 500 company with its corporate headquarters in Greater Orlando.",is red lobster and olive garden owned by the same company,False,False
825,"The flags of Romania and Chad are identical aside from the blue strip on the left, which is slightly darker in the Chadian flag. Romania used the flag from 1866, while in that form appeared for the first time in Wallachia, being officially in use in 1848. Chad began to use its present flag in 1960, after it achieved independence from France. At that time, the Chad and Romanian flags were distinguishable by the latter's inclusion of the Coat of Arms of the Socialist Republic of Romania at the Romanian flag's centre. However, in 1989, the coat of arms was removed entirely after the revolution which overthrew Nicolae Ceaușescu.",do chad and romania have the same flag,False,False
842,"An extensive White House set, of both the East and West Wings, was built on the Castle Rock Entertainment lot in Culver City. The set's Oval Office was later reused for the films Nixon and Independence Day.",was the american president filmed in the white house,False,False
866,"One's sibling-in-law is one's spouse's sibling, or one's sibling's spouse. By gender, this is specified as brother-in-law for one's spouse's brother, one's sibling's husband, or one's spouse's sibling's husband, and sister-in-law for the one's spouse's sister, one's sibling's wife, or one's spouse's sibling's wife.",is my brothers wife my husbands sister in law,True,True
875,"The competition is a knock-out tournament. In each round of games the teams are paired at random, with the first team drawn listed as the home team. Every game lasts 90 minutes plus any additional stoppage time. The winner of each game advances to the next round, whilst the loser is eliminated from the tournament. If a game ends in a draw, the fixture is replayed at the home ground of the other team at a later date. If the replay also ends in a draw, 30 minutes of extra time is played followed by a penalty shoot-out if there is still no clear winner. In the semi-final and final rounds, if the game ends in a draw there is no replay; the winner is decided either in extra time or by a penalty shoot-out.",is there extra time in scottish cup semi final,True,True
895,"Fixed assets, also known as tangible assets or property, plant and equipment (PP&E), is a term used in accounting for assets and property that cannot easily be converted into cash. This can be compared with current assets such as cash or bank accounts, which are described as liquid assets. In most cases, only tangible assets are referred to as fixed. IAS 16 (International Accounting Standard) defines Fixed Assets as assets whose future economic benefit is probable to flow into the entity, whose cost can be measured reliably. Fixed assets belong to one of 2 types: ``Freehold Assets'' -- assets which are purchased with legal right of ownership and used, and ``Leasehold Assets'' -- assets used by owner without legal right for a particular period of time.",is non current assets the same as fixed assets,False,True
904,"Sam's West, Inc. (doing business as Sam's Club) is an American chain of membership-only retail warehouse clubs owned and operated by Walmart, founded in 1983 and named after Walmart founder Sam Walton. As of 2012, Sam's Club chain serves 47 million U.S. (including Puerto Rico) members and is the 8th largest U.S. retailer. As of January 31, 2008, Sam's Club ranks second in sales volume among warehouse clubs with $56.828 billion in sales (in fiscal year 2016) behind Costco.",is walmart and sam's club the same,False,False
944,"Resident Evil 7 is the first full-length game to use Capcom's in-house RE Engine. The development was led by Koshi Nakanishi, director of the 2012 Nintendo 3DS game Resident Evil: Revelations. It was presented as a virtual reality demo, Kitchen, a year prior to its announcement at E3 2016, and supports the PlayStation VR headset. Resident Evil 7 was considered a return to form for the series; critics praised the gameplay, graphics, and design, but criticized the boss battles and the final chapter. The PlayStation VR version received positive reviews, with some criticism including decreased resolution and physical discomfort. By March 2018, the game had sold over five million copies worldwide. Its initial release was followed by two downloadable scenarios, Not a Hero and End of Zoe.",is resident evil 7 vr the full game,True,True
947,"In December 2017, The Walt Disney Company agreed to acquire assets from 21st Century Fox, including 20th Century Fox, for $52.4 billion. The following June, after a counter offer from Comcast worth $65 billion, Disney increased its offer to $71.3 billion. The acquisition would see the return of the film rights to Deadpool, and the X-Men and Fantastic Four characters to Marvel Studios, which would ``create richer, more complex worlds of inter-related characters and stories.'' In July 2018, Feige noted discussions had begun with Disney regarding any potential involvement Marvel Studios could have with Disney's streaming service, since Feige felt the service was ``an important thing for the company''.",is fantastic four part of marvel cinematic universe,False,False
959,"Dorothy Gale is a fictional character created by American author L. Frank Baum as the main protagonist in many of his Oz novels. She first appears in Baum's classic children's novel The Wonderful Wizard of Oz (1900) and reappears in most of its sequels. In addition, she is the main character in various adaptations, notably the classic 1939 film adaptation of the novel, The Wizard of Oz.",did dorothy from wizard of oz have a last name,True,True
973,"All of the Oz sequences were filmed in three-strip Technicolor. The opening and closing credits, as well as the Kansas sequences, were filmed in black and white and colored in a sepia-tone process. Sepia-toned film was also used in the scene where Aunt Em appears in the Wicked Witch's crystal ball.",was wizard of oz originally in black and white,False,False
993,"Wembley Park is a London Underground station in Wembley Park, north west London. The station is served by the Underground's Metropolitan and Jubilee Lines and is in Travelcard Zone 4. It is located on Bridge Road (A4089) and is the nearest Underground station to the Wembley Stadium and Wembley Arena complex. This is where the Jubilee line from Stanmore diverges from the Metropolitan line which was formerly a branch of the Metropolitan Railway and was taken over by the Bakerloo line and today part of the Jubilee line.",is there a tube station at wembley stadium,False,True
1018,"In July 2004, as a result of the publicity generated by Malan's article and the subsequent documentary, the song became the subject of a lawsuit between Linda's estate and Disney, claiming that Disney owed $1.6 million in royalties for the use of ``The Lion Sleeps Tonight'' in the film and musical stage productions of The Lion King. At the same time, the Richmond Organization began to pay $3,000 annually into Linda's estate. In February 2006, Linda's descendants reached a legal settlement with Abilene Music Publishers, who held the worldwide rights and had licensed the song to Disney, to place the earnings of the song in a trust.",is the song in the jungle in the lion king,True,True
1041,"The pelvic skeleton is formed posteriorly (in the area of the back), by the sacrum and the coccyx and laterally and anteriorly (forward and to the sides), by a pair of hip bones. Each hip bone consists of 3 sections, ilium, ischium, and pubis. During childhood, these sections are separate bones, joined by the triradiate cartilage. During puberty, they fuse together to form a single bone.",is the pelvic bone the same as the hip bone,True,False
1053,"Since 1996, a federal law has prohibited non-citizens from voting in federal elections, punishing them by fines, imprisonment, inadmissibility, and deportation. Exempt from punishment is any non-citizen who ``reasonably believed at the time of voting (...) that he or she was a citizen of the United States,'' had a parent who is or was a citizen, and began permanently living in the United States before turning 16 years old. The federal law does not prohibit non-citizens from voting in state or local elections, but no state has allowed non-citizens to vote in state elections since Arkansas became the last state to outlaw non-citizen voting in 1926. 11 local governments, 10 of them in Maryland, allow non-citizens to vote in their local elections (Takoma Park, Barnesville, Martin's Additions, Somerset, Chevy Chase Sections 3 and 5, Glen Echo, Garrett Park, Hyattsville, Mount Rainer and Riverdale Park). San Francisco allows noncitizens parents to vote in School Board elections (beginning in 2018).",do you have to be a citizen of the us to vote,True,True
1062,"Contraction of the muscles has a number of different purposes. Its principal function in the majority of mammals is to provide insulation: air becomes trapped between the erect hairs, helping the animal retain heat. Erection of the porcupine's long, thick hairs causes the animal to become more intimidating, scaring predators. Pressure exerted by the muscle may cause sebum to be forced along the hair follicle towards the surface, protecting the hair.",can an arector pili muscle change the surface area of your skin,False,True
1070,The bullsnake (Pituophis catenifer sayi) is a large non-venomous colubrid snake. It is currently considered a subspecies of the gopher snake (Pituophis catenifer).,are gopher snakes and bull snakes the same,False,True
1082,"In veterinary practice, ear mite infections in dogs and cats may present as a disease that causes intense itching in one or both ears, which in turn triggers scratching at the affected ear. An unusually dark colored ear wax (cerumen) may also be produced. Cats, as well as dogs with erect ears that have control over ear direction, may be seen with one or both ear pinnas held at an odd or flattened angle.",can ear mites only be in one ear,False,True
1086,The show is often famed as having been the place that record producer Simon Cowell made his television debut. The video (of his appearance on the 1989 version) is available on YouTube and extracts of it were shown during the National Television Awards whilst Cowell was receiving the Lifetime Achievement Award. Cowell appeared on 2 episodes (winning his first game) and won only £20 worth of cooking utensils.,did simon cowell won sale of the century,False,False
1100,"Star Trek Beyond is a 2016 American science fiction adventure film directed by Justin Lin and written by Simon Pegg and Doug Jung, based on the series Star Trek created by Gene Roddenberry. It is the thirteenth film in the Star Trek film franchise and the third installment in the reboot series, following Star Trek (2009) and Star Trek Into Darkness (2013). Chris Pine and Zachary Quinto reprise their respective roles as Captain James T. Kirk and Commander Spock, with Pegg, Karl Urban, Zoe Saldana, John Cho, and Anton Yelchin reprising their roles from the previous films. This was also one of Yelchin's last films before his death in June 2016. Idris Elba, Sofia Boutella, Joe Taslim, and Lydia Wilson also appear.",is there going to be a star trek 3,True,True
1103,"Entering a store on his way home, Batou is then seemingly warned by the Major and shot in the arm by an unseen assailant. Caught in a firefight, Batou nearly kills the store owner in confusion, but is subdued when Ishikawa appears. While having his damaged arm replaced, Batou is informed by Ishikawa that his e-brain was hacked, causing him to shoot himself and attack the store occupants. Ishikawa explains that Batou was hacked to try and cause further scandal following his Yakuza assault in an attempt to stop the Section 9 investigation.",is the major in ghost in the shell 2,True,True
1121,"Northern Ireland (Irish: Tuaisceart Éireann (ˈt̪ɣuəʃcəɾɣt̪ɣ ˈeːɾjən̪ɣ) ( listen); Ulster-Scots: Norlin Airlann) is a part of the United Kingdom in the north-east of the island of Ireland, variously described as a country, province or region. Northern Ireland shares a border to the south and west with the Republic of Ireland. In 2011, its population was 1,810,863, constituting about 30% of the island's total population and about 3% of the UK's population. Established by the Northern Ireland Act 1998 as part of the Good Friday Agreement, the Northern Ireland Assembly holds responsibility for a range of devolved policy matters, while other areas are reserved for the British government. Northern Ireland co-operates with the Republic of Ireland in some areas, and the Agreement granted the Republic the ability to ``put forward views and proposals'' with ``determined efforts to resolve disagreements between the two governments''.",is northern ireland a separate country from southern ireland,True,True
